From,To,Count,Area_km2,Period
11,11,2078,1.8702,2008-2009
12,5,18506,16.6554,2008-2009
12,7,8714,7.8426,2008-2009
12,8,5420,4.878,2008-2009
12,12,14732858,13259.5722,2008-2009
12,13,2468,2.2212,2008-2009
12,15,4,0.0036,2008-2009
12,20,278,0.2502,2008-2009
13,13,818480,736.632,2008-2009
15,5,100,0.09,2008-2009
15,7,49,0.0441,2008-2009
15,8,173,0.1557,2008-2009
15,9,161,0.1449,2008-2009
15,12,331,0.2979,2008-2009
15,13,177,0.1593,2008-2009
15,15,39420661,35478.5949,2008-2009
15,20,83,0.0747,2008-2009
16,16,22194,19.9746,2008-2009
20,5,1423,1.2807,2008-2009
20,7,1744,1.5696,2008-2009
20,8,6694,6.0246,2008-2009
20,9,131,0.1179,2008-2009
20,12,239,0.2151,2008-2009
20,13,522,0.4698,2008-2009
20,15,1,0.0009,2008-2009
20,20,11126082,10013.4738,2008-2009
5,5,2393273,2153.9457,2009-2010
5,7,138,0.1242,2009-2010
5,8,11481,10.3329,2009-2010
5,12,449,0.4041,2009-2010
5,13,348,0.3132,2009-2010
5,15,8,0.0072,2009-2010
5,20,612,0.5508,2009-2010
7,5,19,0.0171,2009-2010
7,7,4736246,4262.6214,2009-2010
7,8,1889,1.7001,2009-2010
7,12,197,0.1773,2009-2010
7,13,418,0.3762,2009-2010
7,20,563,0.5067,2009-2010
8,5,903,0.8127,2009-2010
8,7,641,0.5769,2009-2010
8,8,22241441,20017.2969,2009-2010
8,9,1,0.0009,2009-2010
8,12,308,0.2772,2009-2010
8,13,9640,8.676,2009-2010
8,15,13,0.0117,2009-2010
8,20,11264,10.1376,2009-2010
9,9,163238,146.9142,2009-2010
9,13,50,0.045,2009-2010
9,20,15,0.0135,2009-2010
11,11,2078,1.8702,2009-2010
12,5,17375,15.6375,2009-2010
12,7,1506,1.3554,2009-2010
12,8,1569,1.4121,2009-2010
12,12,14713720,13242.348,2009-2010
12,13,2344,2.1096,2009-2010
12,20,94,0.0846,2009-2010
13,13,832199,748.9791,2009-2010
15,5,25,0.0225,2009-2010
15,7,14,0.0126,2009-2010
15,8,81,0.0729,2009-2010
15,9,201,0.1809,2009-2010
15,12,142,0.1278,2009-2010
15,13,179,0.1611,2009-2010
15,15,39419918,35477.9262,2009-2010
15,20,144,0.1296,2009-2010
16,16,22194,19.9746,2009-2010
20,5,1233,1.1097,2009-2010
20,7,4101,3.6909,2009-2010
20,8,12304,11.0736,2009-2010
20,9,204,0.1836,2009-2010
20,12,161,0.1449,2009-2010
20,13,462,0.4158,2009-2010
20,20,11162862,10046.5758,2009-2010
5,5,2402738,2162.4642,2010-2011
5,7,94,0.0846,2010-2011
5,8,8385,7.5465,2010-2011
5,12,174,0.1566,2010-2011
5,13,346,0.3114,2010-2011
5,20,1091,0.9819,2010-2011
7,5,21,0.0189,2010-2011
7,7,4739878,4265.8902,2010-2011
7,8,1332,1.1988,2010-2011
7,12,160,0.144,2010-2011
7,13,445,0.4005,2010-2011
7,20,810,0.729,2010-2011
8,5,519,0.4671,2010-2011
8,7,221,0.1989,2010-2011
8,8,22246544,20021.8896,2010-2011
8,12,117,0.1053,2010-2011
8,13,9941,8.9469,2010-2011
8,15,17,0.0153,2010-2011
8,20,11406,10.2654,2010-2011
9,5,1,0.0009,2010-2011
9,7,1,0.0009,2010-2011
9,8,64,0.0576,2010-2011
9,9,163454,147.1086,2010-2011
9,13,51,0.0459,2010-2011
9,20,73,0.0657,2010-2011
11,11,2078,1.8702,2010-2011
12,5,2163,1.9467,2010-2011
12,7,548,0.4932,2010-2011
12,8,2623,2.3607,2010-2011
12,12,14707360,13236.624,2010-2011
12,13,2063,1.8567,2010-2011
12,20,220,0.198,2010-2011
13,13,845640,761.076,2010-2011
15,5,6,0.0054,2010-2011
15,7,16,0.0144,2010-2011
15,8,135,0.1215,2010-2011
15,9,122,0.1098,2010-2011
15,12,18,0.0162,2010-2011
15,13,150,0.135,2010-2011
15,15,39419434,35477.4906,2010-2011
15,20,58,0.0522,2010-2011
16,16,22194,19.9746,2010-2011
20,5,1434,1.2906,2010-2011
20,7,2221,1.9989,2010-2011
20,8,7252,6.5268,2010-2011
20,9,93,0.0837,2010-2011
20,12,98,0.0882,2010-2011
20,13,528,0.4752,2010-2011
20,15,1,0.0009,2010-2011
20,20,11163927,10047.5343,2010-2011
5,5,2395098,2155.5882,2011-2012
5,7,14,0.0126,2011-2012
5,8,10796,9.7164,2011-2012
5,12,255,0.2295,2011-2012
5,13,465,0.4185,2011-2012
5,20,254,0.2286,2011-2012
7,5,59,0.0531,2011-2012
7,7,4739878,4265.8902,2011-2012
7,8,2146,1.9314,2011-2012
7,12,116,0.1044,2011-2012
7,13,641,0.5769,2011-2012
7,20,139,0.1251,2011-2012
8,5,449,0.4041,2011-2012
8,7,554,0.4986,2011-2012
8,8,22250194,20025.1746,2011-2012
8,12,63,0.0567,2011-2012
8,13,12711,11.4399,2011-2012
8,20,2364,2.1276,2011-2012
9,8,38,0.0342,2011-2012
9,9,163543,147.1887,2011-2012
9,13,80,0.072,2011-2012
9,20,8,0.0072,2011-2012
11,11,2078,1.8702,2011-2012
12,5,6629,5.9661,2011-2012
12,7,1860,1.674,2011-2012
12,8,3408,3.0672,2011-2012
12,12,14693491,13224.1419,2011-2012
12,13,2481,2.2329,2011-2012
12,20,58,0.0522,2011-2012
13,13,859164,773.2476,2011-2012
15,5,28,0.0252,2011-2012
15,7,29,0.0261,2011-2012
15,8,175,0.1575,2011-2012
15,9,85,0.0765,2011-2012
15,12,148,0.1332,2011-2012
15,13,220,0.198,2011-2012
15,15,39418697,35476.8273,2011-2012
15,20,70,0.063,2011-2012
16,16,22194,19.9746,2011-2012
20,5,3415,3.0735,2011-2012
20,7,1681,1.5129,2011-2012
20,8,6811,6.1299,2011-2012
20,9,35,0.0315,2011-2012
20,12,126,0.1134,2011-2012
20,13,820,0.738,2011-2012
20,15,1,0.0009,2011-2012
20,20,11164696,10048.2264,2011-2012
5,5,2401872,2161.6848,2012-2013
5,7,67,0.0603,2012-2013
5,8,2236,2.0124,2012-2013
5,12,358,0.3222,2012-2013
5,13,724,0.6516,2012-2013
5,20,421,0.3789,2012-2013
7,5,51,0.0459,2012-2013
7,7,4741988,4267.7892,2012-2013
7,8,461,0.4149,2012-2013
7,12,164,0.1476,2012-2013
7,13,977,0.8793,2012-2013
7,20,375,0.3375,2012-2013
8,5,883,0.7947,2012-2013
8,7,926,0.8334,2012-2013
8,8,22246729,20022.0561,2012-2013
8,12,276,0.2484,2012-2013
8,13,18864,16.9776,2012-2013
8,15,5,0.0045,2012-2013
8,20,5885,5.2965,2012-2013
9,8,100,0.09,2012-2013
9,9,163395,147.0555,2012-2013
9,13,114,0.1026,2012-2013
9,20,54,0.0486,2012-2013
11,11,2078,1.8702,2012-2013
12,5,727,0.6543,2012-2013
12,7,212,0.1908,2012-2013
12,8,1336,1.2024,2012-2013
12,12,14688355,13219.5195,2012-2013
12,13,3485,3.1365,2012-2013
12,20,84,0.0756,2012-2013
13,13,876582,788.9238,2012-2013
15,5,57,0.0513,2012-2013
15,7,50,0.045,2012-2013
15,8,157,0.1413,2012-2013
15,9,48,0.0432,2012-2013
15,12,90,0.081,2012-2013
15,13,230,0.207,2012-2013
15,15,39418006,35476.2054,2012-2013
15,20,60,0.054,2012-2013
16,16,22194,19.9746,2012-2013
20,5,837,0.7533,2012-2013
20,7,1876,1.6884,2012-2013
20,8,3528,3.1752,2012-2013
20,9,18,0.0162,2012-2013
20,12,49,0.0441,2012-2013
20,13,946,0.8514,2012-2013
20,20,11160335,10044.3015,2012-2013
5,5,2396738,2157.0642,2013-2014
5,7,85,0.0765,2013-2014
5,8,5221,4.6989,2013-2014
5,13,727,0.6543,2013-2014
5,15,1,0.0009,2013-2014
5,20,1655,1.4895,2013-2014
7,7,4740559,4266.5031,2013-2014
7,8,1416,1.2744,2013-2014
7,13,1154,1.0386,2013-2014
7,20,1990,1.791,2013-2014
8,8,22203547,19983.1923,2013-2014
8,13,23229,20.9061,2013-2014
8,15,5,0.0045,2013-2014
8,20,27766,24.9894,2013-2014
9,8,3,0.0027,2013-2014
9,9,163203,146.8827,2013-2014
9,13,116,0.1044,2013-2014
9,20,139,0.1251,2013-2014
11,11,2077,1.8693,2013-2014
11,13,1,0.0009,2013-2014
12,5,454,0.4086,2013-2014
12,7,85,0.0765,2013-2014
12,8,1245,1.1205,2013-2014
12,12,14684071,13215.6639,2013-2014
12,13,3009,2.7081,2013-2014
12,15,1,0.0009,2013-2014
12,20,427,0.3843,2013-2014
13,13,901922,811.7298,2013-2014
15,5,34,0.0306,2013-2014
15,7,56,0.0504,2013-2014
15,8,42,0.0378,2013-2014
15,9,84,0.0756,2013-2014
15,12,76,0.0684,2013-2014
15,13,265,0.2385,2013-2014
15,15,39417304,35475.5736,2013-2014
15,20,150,0.135,2013-2014
16,16,22194,19.9746,2013-2014
20,5,3453,3.1077,2013-2014
20,7,6804,6.1236,2013-2014
20,8,16322,14.6898,2013-2014
20,9,137,0.1233,2013-2014
20,12,358,0.3222,2013-2014
20,13,1439,1.2951,2013-2014
20,15,2,0.0018,2013-2014
20,20,11138699,10024.8291,2013-2014
5,5,2400179,2160.1611,2014-2015
5,13,500,0.45,2014-2015
7,7,4746779,4272.1011,2014-2015
7,13,810,0.729,2014-2015
8,8,22213087,19991.7783,2014-2015
8,13,14709,13.2381,2014-2015
9,9,163348,147.0132,2014-2015
9,13,76,0.0684,2014-2015
11,11,2077,1.8693,2014-2015
12,12,14682531,13214.2779,2014-2015
12,13,1974,1.7766,2014-2015
13,13,931862,838.6758,2014-2015
15,13,206,0.1854,2014-2015
15,15,39417107,35475.3963,2014-2015
16,16,22194,19.9746,2014-2015
20,5,51,0.0459,2014-2015
20,7,124,0.1116,2014-2015
20,8,10,0.009,2014-2015
20,12,19,0.0171,2014-2015
20,13,835,0.7515,2014-2015
20,20,11169787,10052.8083,2014-2015
5,5,2393541,2154.1869,2015-2016
5,7,11,0.0099,2015-2016
5,8,312,0.2808,2015-2016
5,12,248,0.2232,2015-2016
5,13,42,0.0378,2015-2016
5,15,1,0.0009,2015-2016
5,20,6075,5.4675,2015-2016
7,5,17581,15.8229,2015-2016
7,7,4717176,4245.4584,2015-2016
7,8,781,0.7029,2015-2016
7,12,294,0.2646,2015-2016
7,13,88,0.0792,2015-2016
7,20,10983,9.8847,2015-2016
8,5,4228,3.8052,2015-2016
8,7,3095,2.7855,2015-2016
8,8,22154906,19939.4154,2015-2016
8,12,609,0.5481,2015-2016
8,13,1978,1.7802,2015-2016
8,20,48281,43.4529,2015-2016
9,9,163227,146.9043,2015-2016
9,13,21,0.0189,2015-2016
9,20,100,0.09,2015-2016
11,11,2077,1.8693,2015-2016
12,5,13935,12.5415,2015-2016
12,7,7,0.0063,2015-2016
12,8,751,0.6759,2015-2016
12,12,14666877,13200.1893,2015-2016
12,13,64,0.0576,2015-2016
12,20,916,0.8244,2015-2016
13,13,950972,855.8748,2015-2016
15,5,6,0.0054,2015-2016
15,7,11,0.0099,2015-2016
15,8,31,0.0279,2015-2016
15,9,10,0.009,2015-2016
15,12,8,0.0072,2015-2016
15,15,39417009,35475.3081,2015-2016
15,20,32,0.0288,2015-2016
16,16,22194,19.9746,2015-2016
20,5,777,0.6993,2015-2016
20,7,1356,1.2204,2015-2016
20,8,3345,3.0105,2015-2016
20,9,165,0.1485,2015-2016
20,12,136,0.1224,2015-2016
20,13,61,0.0549,2015-2016
20,20,11163947,10047.5523,2015-2016
5,5,2425727,2183.1543,2016-2017
5,7,52,0.0468,2016-2017
5,8,316,0.2844,2016-2017
5,12,192,0.1728,2016-2017
5,13,1627,1.4643,2016-2017
5,20,2154,1.9386,2016-2017
7,5,17232,15.5088,2016-2017
7,7,4697669,4227.9021,2016-2017
7,8,558,0.5022,2016-2017
7,12,363,0.3267,2016-2017
7,13,1781,1.6029,2016-2017
7,20,4053,3.6477,2016-2017
8,5,1746,1.5714,2016-2017
8,7,1969,1.7721,2016-2017
8,8,22127575,19914.8175,2016-2017
8,12,275,0.2475,2016-2017
8,13,16464,14.8176,2016-2017
8,20,12097,10.8873,2016-2017
9,9,163234,146.9106,2016-2017
9,13,139,0.1251,2016-2017
9,20,29,0.0261,2016-2017
11,11,2077,1.8693,2016-2017
12,5,5735,5.1615,2016-2017
12,7,55,0.0495,2016-2017
12,8,470,0.423,2016-2017
12,12,14657642,13191.8778,2016-2017
12,13,4091,3.6819,2016-2017
12,20,179,0.1611,2016-2017
13,13,953226,857.9034,2016-2017
15,7,5,0.0045,2016-2017
15,8,18,0.0162,2016-2017
15,9,60,0.054,2016-2017
15,12,12,0.0108,2016-2017
15,15,39416893,35475.2037,2016-2017
15,20,22,0.0198,2016-2017
16,16,22194,19.9746,2016-2017
20,5,235,0.2115,2016-2017
20,7,1225,1.1025,2016-2017
20,8,4650,4.185,2016-2017
20,9,190,0.171,2016-2017
20,12,47,0.0423,2016-2017
20,13,626,0.5634,2016-2017
20,20,11223361,10101.0249,2016-2017
5,5,2444900,2200.41,2017-2018
5,7,69,0.0621,2017-2018
5,8,692,0.6228,2017-2018
5,12,45,0.0405,2017-2018
5,13,1530,1.377,2017-2018
5,20,3439,3.0951,2017-2018
7,5,57717,51.9453,2017-2018
7,7,4633523,4170.1707,2017-2018
7,8,1655,1.4895,2017-2018
7,12,130,0.117,2017-2018
7,13,1560,1.404,2017-2018
7,20,6390,5.751,2017-2018
8,5,954,0.8586,2017-2018
8,7,2086,1.8774,2017-2018
8,8,22092098,19882.8882,2017-2018
8,12,111,0.0999,2017-2018
8,13,10289,9.2601,2017-2018
8,20,28049,25.2441,2017-2018
9,9,162993,146.6937,2017-2018
9,13,252,0.2268,2017-2018
9,20,239,0.2151,2017-2018
11,11,2077,1.8693,2017-2018
12,5,47983,43.1847,2017-2018
12,7,149,0.1341,2017-2018
12,8,1655,1.4895,2017-2018
12,12,14605681,13145.1129,2017-2018
12,13,2643,2.3787,2017-2018
12,20,420,0.378,2017-2018
13,13,977954,880.1586,2017-2018
15,5,3,0.0027,2017-2018
15,7,22,0.0198,2017-2018
15,8,66,0.0594,2017-2018
15,9,164,0.1476,2017-2018
15,12,94,0.0846,2017-2018
15,15,39416503,35474.8527,2017-2018
15,20,41,0.0369,2017-2018
16,16,22194,19.9746,2017-2018
20,5,226,0.2034,2017-2018
20,7,2896,2.6064,2017-2018
20,8,10901,9.8109,2017-2018
20,9,239,0.2151,2017-2018
20,12,141,0.1269,2017-2018
20,13,626,0.5634,2017-2018
20,20,11226866,10104.1794,2017-2018
5,5,2545767,2291.1903,2018-2019
5,7,96,0.0864,2018-2019
5,8,594,0.5346,2018-2019
5,12,192,0.1728,2018-2019
5,13,341,0.3069,2018-2019
5,20,4793,4.3137,2018-2019
7,5,37718,33.9462,2018-2019
7,7,4588947,4130.0523,2018-2019
7,8,2545,2.2905,2018-2019
7,12,663,0.5967,2018-2019
7,13,439,0.3951,2018-2019
7,20,8433,7.5897,2018-2019
8,5,897,0.8073,2018-2019
8,7,5982,5.3838,2018-2019
8,8,22069716,19862.7444,2018-2019
8,12,454,0.4086,2018-2019
8,13,2837,2.5533,2018-2019
8,20,27181,24.4629,2018-2019
9,7,2,0.0018,2018-2019
9,9,163110,146.799,2018-2019
9,13,77,0.0693,2018-2019
9,20,207,0.1863,2018-2019
11,11,2077,1.8693,2018-2019
12,5,22492,20.2428,2018-2019
12,7,164,0.1476,2018-2019
12,8,900,0.81,2018-2019
12,12,14579233,13121.3097,2018-2019
12,13,2977,2.6793,2018-2019
12,20,436,0.3924,2018-2019
13,13,994854,895.3686,2018-2019
15,5,2,0.0018,2018-2019
15,7,29,0.0261,2018-2019
15,8,80,0.072,2018-2019
15,9,247,0.2223,2018-2019
15,12,33,0.0297,2018-2019
15,15,39416072,35474.4648,2018-2019
15,20,40,0.036,2018-2019
16,16,22194,19.9746,2018-2019
20,5,1036,0.9324,2018-2019
20,7,5847,5.2623,2018-2019
20,8,10123,9.1107,2018-2019
20,9,266,0.2394,2018-2019
20,12,382,0.3438,2018-2019
20,13,105,0.0945,2018-2019
20,20,11247685,10122.9165,2018-2019
5,5,2605774,2345.1966,2019-2020
5,7,97,0.0873,2019-2020
5,8,405,0.3645,2019-2020
5,13,50,0.045,2019-2020
5,20,1586,1.4274,2019-2020
7,5,17631,15.8679,2019-2020
7,7,4579712,4121.7408,2019-2020
7,8,1197,1.0773,2019-2020
7,20,2527,2.2743,2019-2020
8,5,4,0.0036,2019-2020
8,7,1,0.0009,2019-2020
8,8,22073305,19865.9745,2019-2020
8,12,1,0.0009,2019-2020
8,13,1136,1.0224,2019-2020
8,20,9511,8.5599,2019-2020
9,8,10,0.009,2019-2020
9,9,163458,147.1122,2019-2020
9,13,141,0.1269,2019-2020
9,20,14,0.0126,2019-2020
11,11,2077,1.8693,2019-2020
12,5,13180,11.862,2019-2020
12,7,66,0.0594,2019-2020
12,8,382,0.3438,2019-2020
12,12,14567096,13110.3864,2019-2020
12,13,107,0.0963,2019-2020
12,20,126,0.1134,2019-2020
13,13,1001630,901.467,2019-2020
15,5,33,0.0297,2019-2020
15,7,51,0.0459,2019-2020
15,8,137,0.1233,2019-2020
15,9,44,0.0396,2019-2020
15,12,103,0.0927,2019-2020
15,15,39415695,35474.1255,2019-2020
15,20,9,0.0081,2019-2020
16,16,22194,19.9746,2019-2020
20,5,384,0.3456,2019-2020
20,7,2554,2.2986,2019-2020
20,8,11826,10.6434,2019-2020
20,9,256,0.2304,2019-2020
20,12,74,0.0666,2019-2020
20,20,11273681,10146.3129,2019-2020
5,5,2633363,2370.0267,2020-2021
5,8,27,0.0243,2020-2021
5,13,364,0.3276,2020-2021
5,20,3252,2.9268,2020-2021
7,5,20359,18.3231,2020-2021
7,7,4549300,4094.37,2020-2021
7,8,2953,2.6577,2020-2021
7,13,467,0.4203,2020-2021
7,20,9402,8.4618,2020-2021
8,8,22052553,19847.2977,2020-2021
8,13,16148,14.5332,2020-2021
8,20,18561,16.7049,2020-2021
9,9,163582,147.2238,2020-2021
9,13,131,0.1179,2020-2021
9,20,45,0.0405,2020-2021
11,11,2077,1.8693,2020-2021
12,5,58304,52.4736,2020-2021
12,7,8,0.0072,2020-2021
12,8,57,0.0513,2020-2021
12,12,14505957,13055.3613,2020-2021
12,13,2902,2.6118,2020-2021
12,20,46,0.0414,2020-2021
13,13,1003064,902.7576,2020-2021
15,5,13,0.0117,2020-2021
15,7,6,0.0054,2020-2021
15,8,18,0.0162,2020-2021
15,9,7,0.0063,2020-2021
15,12,7,0.0063,2020-2021
15,13,54,0.0486,2020-2021
15,15,39415572,35474.0148,2020-2021
15,20,18,0.0162,2020-2021
16,16,22194,19.9746,2020-2021
20,5,3540,3.186,2020-2021
20,7,2390,2.151,2020-2021
20,8,8635,7.7715,2020-2021
20,9,1046,0.9414,2020-2021
20,12,327,0.2943,2020-2021
20,13,272,0.2448,2020-2021
20,20,11271244,10144.1196,2020-2021
5,5,2709351,2438.4159,2021-2022
5,13,806,0.7254,2021-2022
5,20,5422,4.8798,2021-2022
7,5,21308,19.1772,2021-2022
7,7,4512941,4061.6469,2021-2022
7,8,4566,4.1094,2021-2022
7,9,1,0.0009,2021-2022
7,12,1,0.0009,2021-2022
7,13,612,0.5508,2021-2022
7,20,12275,11.0475,2021-2022
8,8,22022700,19820.43,2021-2022
8,9,9,0.0081,2021-2022
8,13,15720,14.148,2021-2022
8,20,25814,23.2326,2021-2022
9,8,1,0.0009,2021-2022
9,9,164372,147.9348,2021-2022
9,13,206,0.1854,2021-2022
9,20,56,0.0504,2021-2022
11,11,2077,1.8693,2021-2022
12,5,32266,29.0394,2021-2022
12,7,61,0.0549,2021-2022
12,8,70,0.063,2021-2022
12,12,14470155,13023.1395,2021-2022
12,13,3715,3.3435,2021-2022
12,20,24,0.0216,2021-2022
13,13,1023402,921.0618,2021-2022
15,5,18,0.0162,2021-2022
15,7,10,0.009,2021-2022
15,8,41,0.0369,2021-2022
15,9,29,0.0261,2021-2022
15,12,3,0.0027,2021-2022
15,13,33,0.0297,2021-2022
15,15,39415415,35473.8735,2021-2022
15,20,23,0.0207,2021-2022
16,16,22194,19.9746,2021-2022
20,5,2921,2.6289,2021-2022
20,7,4484,4.0356,2021-2022
20,8,14838,13.3542,2021-2022
20,9,312,0.2808,2021-2022
20,12,412,0.3708,2021-2022
20,13,302,0.2718,2021-2022
20,20,11279299,10151.3691,2021-2022
