From,To,Count,Area_km2,Period
15,20,109,0.0981,1996-1997
16,16,22194,19.9746,1996-1997
20,5,1609,1.4481,1996-1997
20,7,7205,6.4845,1996-1997
20,8,17995,16.1955,1996-1997
20,9,27,0.0243,1996-1997
20,12,799,0.7191,1996-1997
20,13,707,0.6363,1996-1997
20,15,21,0.0189,1996-1997
20,20,11004815,9904.3335,1996-1997
5,5,2607147,2346.4323,1997-1998
5,8,6648,5.9832,1997-1998
5,12,8015,7.2135,1997-1998
5,13,413,0.3717,1997-1998
5,15,59,0.0531,1997-1998
5,20,1465,1.3185,1997-1998
7,5,786,0.7074,1997-1998
7,7,4599517,4139.5653,1997-1998
7,8,388,0.3492,1997-1998
7,12,700,0.63,1997-1998
7,13,518,0.4662,1997-1998
7,20,201,0.1809,1997-1998
8,5,759,0.6831,1997-1998
8,7,1214,1.0926,1997-1998
8,8,22463195,20216.8755,1997-1998
8,9,2,0.0018,1997-1998
8,12,820,0.738,1997-1998
8,13,11960,10.764,1997-1998
8,15,116,0.1044,1997-1998
8,20,21809,19.6281,1997-1998
9,5,17,0.0153,1997-1998
9,8,93,0.0837,1997-1998
9,9,161329,145.1961,1997-1998
9,13,136,0.1224,1997-1998
9,15,1,0.0009,1997-1998
9,20,95,0.0855,1997-1998
11,11,2085,1.8765,1997-1998
11,13,3,0.0027,1997-1998
12,5,726,0.6534,1997-1998
12,7,4700,4.23,1997-1998
12,8,749,0.6741,1997-1998
12,12,14873999,13386.5991,1997-1998
12,13,3219,2.8971,1997-1998
12,20,107,0.0963,1997-1998
13,13,501936,451.7424,1997-1998
15,5,99,0.0891,1997-1998
15,7,49,0.0441,1997-1998
15,8,644,0.5796,1997-1998
15,9,73,0.0657,1997-1998
15,12,272,0.2448,1997-1998
15,13,182,0.1638,1997-1998
15,15,39443619,35499.2571,1997-1998
15,20,210,0.189,1997-1998
16,16,22194,19.9746,1997-1998
20,5,2547,2.2923,1997-1998
20,7,20250,18.225,1997-1998
20,8,38922,35.0298,1997-1998
20,9,80,0.072,1997-1998
20,12,769,0.6921,1997-1998
20,13,815,0.7335,1997-1998
20,15,60,0.054,1997-1998
20,20,10962553,9866.2977,1997-1998
5,5,2547929,2293.1361,1998-1999
5,7,18,0.0162,1998-1999
5,8,29054,26.1486,1998-1999
5,12,29573,26.6157,1998-1999
5,13,337,0.3033,1998-1999
5,15,134,0.1206,1998-1999
5,20,5036,4.5324,1998-1999
7,5,2202,1.9818,1998-1999
7,7,4612795,4151.5155,1998-1999
7,8,3099,2.7891,1998-1999
7,12,3268,2.9412,1998-1999
7,13,550,0.495,1998-1999
7,20,3816,3.4344,1998-1999
8,5,2098,1.8882,1998-1999
8,7,2460,2.214,1998-1999
8,8,22380909,20142.8181,1998-1999
8,9,10,0.009,1998-1999
8,12,926,0.8334,1998-1999
8,13,11937,10.7433,1998-1999
8,15,457,0.4113,1998-1999
8,20,111842,100.6578,1998-1999
9,5,53,0.0477,1998-1999
9,7,10,0.009,1998-1999
9,8,131,0.1179,1998-1999
9,9,160657,144.5913,1998-1999
9,13,79,0.0711,1998-1999
9,15,11,0.0099,1998-1999
9,20,543,0.4887,1998-1999
11,11,2080,1.872,1998-1999
11,13,5,0.0045,1998-1999
12,5,4172,3.7548,1998-1999
12,7,11014,9.9126,1998-1999
12,8,6186,5.5674,1998-1999
12,12,14859714,13373.7426,1998-1999
12,13,3182,2.8638,1998-1999
12,15,25,0.0225,1998-1999
12,20,282,0.2538,1998-1999
13,13,519182,467.2638,1998-1999
15,5,584,0.5256,1998-1999
15,7,295,0.2655,1998-1999
15,8,4330,3.897,1998-1999
15,9,596,0.5364,1998-1999
15,12,3570,3.213,1998-1999
15,13,173,0.1557,1998-1999
15,15,39433216,35489.8944,1998-1999
15,20,1091,0.9819,1998-1999
16,16,22194,19.9746,1998-1999
20,5,9630,8.667,1998-1999
