From,From_Label,To,To_Label,Count,Area_km2,Period
8,Cropland,20,Forest,10568040,9511.236,1990-1995
9,Wetland,5,Shrubland,532535,479.2815,1990-1995
9,Wetland,7,Grassland,129320,116.388,1990-1995
9,Wetland,8,Cropland,1271701,1144.5309,1990-1995
9,Wetland,9,Wetland,24235637,21812.0733,1990-1995
9,Wetland,12,Bareland,1008597,907.7373,1990-1995
9,Wetland,13,Built-up,44591,40.1319,1990-1995
9,Wetland,15,Water,13759517,12383.5653,1990-1995
9,Wetland,16,Permanent ice and snow,2,0.0018,1990-1995
9,Wetland,20,Forest,492658,443.3922,1990-1995
11,Lichens and Mosses,11,Lichens and Mosses,1,0.0009,1990-1995
12,Bareland,5,Shrubland,523041,470.7369,1990-1995
12,Bareland,7,Grassland,1520457,1368.4113,1990-1995
12,Bareland,8,Cropland,3071338,2764.2042,1990-1995
12,Bareland,9,Wetland,800579,720.5211,1990-1995
12,Bareland,12,Bareland,1225805229,1103224.7061,1990-1995
12,Bareland,13,Built-up,118255,106.4295,1990-1995
12,Bareland,15,Water,254545,229.0905,1990-1995
12,Bareland,16,Permanent ice and snow,14727,13.2543,1990-1995
12,Bareland,20,Forest,14944,13.4496,1990-1995
13,Built-up,5,Shrubland,56,0.0504,1990-1995
13,Built-up,7,Grassland,83,0.0747,1990-1995
13,Built-up,8,Cropland,821,0.7389,1990-1995
13,Built-up,9,Wetland,3531,3.1779,1990-1995
13,Built-up,12,Bareland,2,0.0018,1990-1995
13,Built-up,13,Built-up,71210459,64089.4131,1990-1995
13,Built-up,15,Water,1728,1.5552,1990-1995
13,Built-up,16,Permanent ice and snow,39,0.0351,1990-1995
13,Built-up,20,Forest,2355,2.1195,1990-1995
15,Water,5,Shrubland,90082,81.0738,1990-1995
15,Water,7,Grassland,16146,14.5314,1990-1995
15,Water,8,Cropland,297436,267.6924,1990-1995
15,Water,9,Wetland,1416668,1275.0012,1990-1995
15,Water,12,Bareland,125421,112.8789,1990-1995
15,Water,13,Built-up,27124,24.4116,1990-1995
15,Water,15,Water,3916878650,3525190.785,1990-1995
15,Water,16,Permanent ice and snow,11473,10.3257,1990-1995
15,Water,20,Forest,76534,68.8806,1990-1995
16,Permanent ice and snow,5,Shrubland,29348,26.4132,1990-1995
16,Permanent ice and snow,7,Grassland,562,0.5058,1990-1995
16,Permanent ice and snow,8,Cropland,1607,1.4463,1990-1995
16,Permanent ice and snow,9,Wetland,1,0.0009,1990-1995
16,Permanent ice and snow,12,Bareland,19043,17.1387,1990-1995
16,Permanent ice and snow,13,Built-up,121,0.1089,1990-1995
16,Permanent ice and snow,15,Water,17511,15.7599,1990-1995
16,Permanent ice and snow,16,Permanent ice and snow,4649204,4184.2836,1990-1995
16,Permanent ice and snow,20,Forest,11589,10.4301,1990-1995
20,Forest,5,Shrubland,7108376,6397.5384,1990-1995
20,Forest,7,Grassland,2516442,2264.7978,1990-1995
20,Forest,8,Cropland,14024040,12621.636,1990-1995
20,Forest,9,Wetland,542446,488.2014,1990-1995
20,Forest,12,Bareland,9552,8.5968,1990-1995
20,Forest,13,Built-up,216981,195.2829,1990-1995
20,Forest,15,Water,278687,250.8183,1990-1995
20,Forest,16,Permanent ice and snow,6703,6.0327,1990-1995
20,Forest,20,Forest,1251433951,1126290.5559,1990-1995
5,Shrubland,5,Shrubland,467280289,420552.2601,1995-2000
5,Shrubland,7,Grassland,6103053,5492.7477,1995-2000
5,Shrubland,8,Cropland,25246757,22722.0813,1995-2000
5,Shrubland,9,Wetland,2534320,2280.888,1995-2000
5,Shrubland,11,Lichens and Mosses,463062,416.7558,1995-2000
5,Shrubland,12,Bareland,1345903,1211.3127,1995-2000
5,Shrubland,13,Built-up,6286235,5657.6115,1995-2000
5,Shrubland,15,Water,107895,97.1055,1995-2000
5,Shrubland,16,Permanent ice and snow,120444,108.3996,1995-2000
5,Shrubland,20,Forest,21436105,19292.4945,1995-2000
7,Grassland,5,Shrubland,11495220,10345.698,1995-2000
7,Grassland,7,Grassland,521247373,469122.6357,1995-2000
7,Grassland,8,Cropland,36028934,32426.0406,1995-2000
7,Grassland,9,Wetland,704590,634.131,1995-2000
7,Grassland,11,Lichens and Mosses,332171,298.9539,1995-2000
7,Grassland,12,Bareland,2080046,1872.0414,1995-2000
7,Grassland,13,Built-up,4746775,4272.0975,1995-2000
7,Grassland,15,Water,30756,27.6804,1995-2000
7,Grassland,16,Permanent ice and snow,3155,2.8395,1995-2000
7,Grassland,20,Forest,12056900,10851.21,1995-2000
8,Cropland,5,Shrubland,22883454,20595.1086,1995-2000
8,Cropland,7,Grassland,24819405,22337.4645,1995-2000
8,Cropland,8,Cropland,1803550795,1623195.7155,1995-2000
8,Cropland,9,Wetland,2115503,1903.9527,1995-2000
8,Cropland,11,Lichens and Mosses,222183,199.9647,1995-2000
8,Cropland,12,Bareland,1898733,1708.8597,1995-2000
8,Cropland,13,Built-up,32162693,28946.4237,1995-2000
8,Cropland,15,Water,340783,306.7047,1995-2000
8,Cropland,16,Permanent ice and snow,5255,4.7295,1995-2000
8,Cropland,20,Forest,25548884,22993.9956,1995-2000
9,Wetland,5,Shrubland,345627,311.0643,1995-2000
9,Wetland,7,Grassland,106114,95.5026,1995-2000
9,Wetland,8,Cropland,1206956,1086.2604,1995-2000
9,Wetland,9,Wetland,26473712,23826.3408,1995-2000
9,Wetland,11,Lichens and Mosses,1505,1.3545,1995-2000
9,Wetland,12,Bareland,149508,134.5572,1995-2000
9,Wetland,13,Built-up,305917,275.3253,1995-2000
9,Wetland,15,Water,500950,450.855,1995-2000
9,Wetland,16,Permanent ice and snow,12,0.0108,1995-2000
9,Wetland,20,Forest,468049,421.2441,1995-2000
11,Lichens and Mosses,11,Lichens and Mosses,1,0.0009,1995-2000
12,Bareland,5,Shrubland,1653862,1488.4758,1995-2000
12,Bareland,7,Grassland,2828500,2545.65,1995-2000
12,Bareland,8,Cropland,3733932,3360.5388,1995-2000
12,Bareland,9,Wetland,12507864,11257.0776,1995-2000
12,Bareland,11,Lichens and Mosses,50169,45.1521,1995-2000
12,Bareland,12,Bareland,1206327122,1085694.4098,1995-2000
12,Bareland,13,Built-up,2300453,2070.4077,1995-2000
12,Bareland,15,Water,142897,128.6073,1995-2000
12,Bareland,16,Permanent ice and snow,56583,50.9247,1995-2000
12,Bareland,20,Forest,292587,263.3283,1995-2000
13,Built-up,5,Shrubland,989502,890.5518,1995-2000
13,Built-up,7,Grassland,1035843,932.2587,1995-2000
13,Built-up,8,Cropland,8113620,7302.258,1995-2000
13,Built-up,9,Wetland,234425,210.9825,1995-2000
13,Built-up,11,Lichens and Mosses,13516,12.1644,1995-2000
13,Built-up,12,Bareland,177038,159.3342,1995-2000
13,Built-up,13,Built-up,64577863,58120.0767,1995-2000
13,Built-up,15,Water,63862,57.4758,1995-2000
13,Built-up,16,Permanent ice and snow,398,0.3582,1995-2000
13,Built-up,20,Forest,1021840,919.656,1995-2000
15,Water,5,Shrubland,163798,147.4182,1995-2000
15,Water,7,Grassland,26716,24.0444,1995-2000
15,Water,8,Cropland,242975,218.6775,1995-2000
15,Water,9,Wetland,4060751,3654.6759,1995-2000
15,Water,11,Lichens and Mosses,3286,2.9574,1995-2000
15,Water,12,Bareland,1109435,998.4915,1995-2000
15,Water,13,Built-up,141223,127.1007,1995-2000
15,Water,15,Water,3926171633,3533554.4697,1995-2000
15,Water,16,Permanent ice and snow,62764,56.4876,1995-2000
15,Water,20,Forest,250087,225.0783,1995-2000
16,Permanent ice and snow,5,Shrubland,46941,42.2469,1995-2000
16,Permanent ice and snow,7,Grassland,1383,1.2447,1995-2000
16,Permanent ice and snow,8,Cropland,2964,2.6676,1995-2000
16,Permanent ice and snow,9,Wetland,46,0.0414,1995-2000
16,Permanent ice and snow,11,Lichens and Mosses,307,0.2763,1995-2000
16,Permanent ice and snow,12,Bareland,49205,44.2845,1995-2000
16,Permanent ice and snow,13,Built-up,7056,6.3504,1995-2000
16,Permanent ice and snow,15,Water,42741,38.4669,1995-2000
16,Permanent ice and snow,16,Permanent ice and snow,4547500,4092.75,1995-2000
16,Permanent ice and snow,20,Forest,18910,17.019,1995-2000
20,Forest,5,Shrubland,18912785,17021.5065,1995-2000
20,Forest,7,Grassland,4963222,4466.8998,1995-2000
20,Forest,8,Cropland,47791106,43011.9954,1995-2000
20,Forest,9,Wetland,613340,552.006,1995-2000
20,Forest,11,Lichens and Mosses,28393,25.5537,1995-2000
20,Forest,12,Bareland,263434,237.0906,1995-2000
20,Forest,13,Built-up,2610006,2349.0054,1995-2000
20,Forest,15,Water,278497,250.6473,1995-2000
20,Forest,16,Permanent ice and snow,32559,29.3031,1995-2000
20,Forest,20,Forest,1195263546,1075737.1914,1995-2000
5,Shrubland,5,Shrubland,510318048,459286.2432,2000-2001
5,Shrubland,7,Grassland,1080287,972.2583,2000-2001
5,Shrubland,8,Cropland,7745606,6971.0454,2000-2001
5,Shrubland,9,Wetland,467928,421.1352,2000-2001
5,Shrubland,11,Lichens and Mosses,62918,56.6262,2000-2001
5,Shrubland,12,Bareland,289483,260.5347,2000-2001
5,Shrubland,13,Built-up,920198,828.1782,2000-2001
5,Shrubland,15,Water,45538,40.9842,2000-2001
5,Shrubland,16,Permanent ice and snow,48357,43.5213,2000-2001
5,Shrubland,20,Forest,2793105,2513.7945,2000-2001
7,Grassland,5,Shrubland,1910566,1719.5094,2000-2001
7,Grassland,7,Grassland,546331161,491698.0449,2000-2001
7,Grassland,8,Cropland,9747419,8772.6771,2000-2001
7,Grassland,9,Wetland,198179,178.3611,2000-2001
7,Grassland,11,Lichens and Mosses,34240,30.816,2000-2001
7,Grassland,12,Bareland,761146,685.0314,2000-2001
7,Grassland,13,Built-up,868059,781.2531,2000-2001
7,Grassland,15,Water,3369,3.0321,2000-2001
7,Grassland,16,Permanent ice and snow,1819,1.6371,2000-2001
7,Grassland,20,Forest,1275639,1148.0751,2000-2001
8,Cropland,5,Shrubland,6252490,5627.241,2000-2001
8,Cropland,7,Grassland,7000260,6300.234,2000-2001
8,Cropland,8,Cropland,1897961604,1708165.4436,2000-2001
8,Cropland,9,Wetland,955605,860.0445,2000-2001
8,Cropland,11,Lichens and Mosses,62387,56.1483,2000-2001
8,Cropland,12,Bareland,498478,448.6302,2000-2001
8,Cropland,13,Built-up,7091033,6381.9297,2000-2001
8,Cropland,15,Water,44920,40.428,2000-2001
8,Cropland,16,Permanent ice and snow,1969,1.7721,2000-2001
8,Cropland,20,Forest,6049294,5444.3646,2000-2001
9,Wetland,5,Shrubland,425296,382.7664,2000-2001
9,Wetland,7,Grassland,198198,178.3782,2000-2001
9,Wetland,8,Cropland,947961,853.1649,2000-2001
9,Wetland,9,Wetland,44084488,39676.0392,2000-2001
9,Wetland,11,Lichens and Mosses,949,0.8541,2000-2001
9,Wetland,12,Bareland,1791751,1612.5759,2000-2001
9,Wetland,13,Built-up,83493,75.1437,2000-2001
9,Wetland,15,Water,1256367,1130.7303,2000-2001
9,Wetland,16,Permanent ice and snow,43,0.0387,2000-2001
9,Wetland,20,Forest,455997,410.3973,2000-2001
11,Lichens and Mosses,5,Shrubland,53597,48.2373,2000-2001
11,Lichens and Mosses,7,Grassland,30912,27.8208,2000-2001
11,Lichens and Mosses,8,Cropland,59867,53.8803,2000-2001
11,Lichens and Mosses,9,Wetland,1389,1.2501,2000-2001
11,Lichens and Mosses,11,Lichens and Mosses,934289,840.8601,2000-2001
11,Lichens and Mosses,12,Bareland,12184,10.9656,2000-2001
11,Lichens and Mosses,13,Built-up,8670,7.803,2000-2001
11,Lichens and Mosses,15,Water,894,0.8046,2000-2001
11,Lichens and Mosses,16,Permanent ice and snow,345,0.3105,2000-2001
11,Lichens and Mosses,20,Forest,12446,11.2014,2000-2001
12,Bareland,5,Shrubland,382575,344.3175,2000-2001
12,Bareland,7,Grassland,753156,677.8404,2000-2001
12,Bareland,8,Cropland,864585,778.1265,2000-2001
12,Bareland,9,Wetland,1186010,1067.409,2000-2001
12,Bareland,11,Lichens and Mosses,6710,6.039,2000-2001
12,Bareland,12,Bareland,1209685866,1088717.2794,2000-2001
12,Bareland,13,Built-up,368721,331.8489,2000-2001
12,Bareland,15,Water,31550,28.395,2000-2001
12,Bareland,16,Permanent ice and snow,46141,41.5269,2000-2001
12,Bareland,20,Forest,75105,67.5945,2000-2001
13,Built-up,5,Shrubland,858830,772.947,2000-2001
13,Built-up,7,Grassland,657803,592.0227,2000-2001
13,Built-up,8,Cropland,5048089,4543.2801,2000-2001
13,Built-up,9,Wetland,82754,74.4786,2000-2001
13,Built-up,11,Lichens and Mosses,7937,7.1433,2000-2001
13,Built-up,12,Bareland,257459,231.7131,2000-2001
13,Built-up,13,Built-up,105587540,95028.786,2000-2001
13,Built-up,15,Water,21961,19.7649,2000-2001
13,Built-up,16,Permanent ice and snow,3439,3.0951,2000-2001
13,Built-up,20,Forest,612457,551.2113,2000-2001
15,Water,5,Shrubland,47840,43.056,2000-2001
15,Water,7,Grassland,8119,7.3071,2000-2001
15,Water,8,Cropland,62843,56.5587,2000-2001
15,Water,9,Wetland,1217092,1095.3828,2000-2001
15,Water,11,Lichens and Mosses,2748,2.4732,2000-2001
15,Water,12,Bareland,94125,84.7125,2000-2001
15,Water,13,Built-up,30356,27.3204,2000-2001
15,Water,15,Water,3926089504,3533480.5536,2000-2001
15,Water,16,Permanent ice and snow,43538,39.1842,2000-2001
15,Water,20,Forest,83849,75.4641,2000-2001
16,Permanent ice and snow,5,Shrubland,25222,22.6998,2000-2001
16,Permanent ice and snow,7,Grassland,886,0.7974,2000-2001
16,Permanent ice and snow,8,Cropland,1495,1.3455,2000-2001
16,Permanent ice and snow,9,Wetland,51,0.0459,2000-2001
16,Permanent ice and snow,11,Lichens and Mosses,182,0.1638,2000-2001
16,Permanent ice and snow,12,Bareland,14866,13.3794,2000-2001
16,Permanent ice and snow,13,Built-up,1766,1.5894,2000-2001
16,Permanent ice and snow,15,Water,18996,17.0964,2000-2001
16,Permanent ice and snow,16,Permanent ice and snow,4756559,4280.9031,2000-2001
16,Permanent ice and snow,20,Forest,8647,7.7823,2000-2001
20,Forest,5,Shrubland,3354158,3018.7422,2000-2001
20,Forest,7,Grassland,919688,827.7192,2000-2001
20,Forest,8,Cropland,8519557,7667.6013,2000-2001
20,Forest,9,Wetland,440795,396.7155,2000-2001
20,Forest,11,Lichens and Mosses,13877,12.4893,2000-2001
20,Forest,12,Bareland,61841,55.6569,2000-2001
20,Forest,13,Built-up,670951,603.8559,2000-2001
20,Forest,15,Water,40948,36.8532,2000-2001
20,Forest,16,Permanent ice and snow,18908,17.0172,2000-2001
20,Forest,20,Forest,1242316171,1118084.5539,2000-2001
5,Shrubland,5,Shrubland,509635576,458672.0184,2001-2002
5,Shrubland,7,Grassland,1354944,1219.4496,2001-2002
5,Shrubland,8,Cropland,7986437,7187.7933,2001-2002
5,Shrubland,9,Wetland,441353,397.2177,2001-2002
5,Shrubland,11,Lichens and Mosses,46511,41.8599,2001-2002
5,Shrubland,12,Bareland,360221,324.1989,2001-2002
5,Shrubland,13,Built-up,934655,841.1895,2001-2002
5,Shrubland,15,Water,42575,38.3175,2001-2002
5,Shrubland,16,Permanent ice and snow,11470,10.323,2001-2002
5,Shrubland,20,Forest,2814879,2533.3911,2001-2002
7,Grassland,5,Shrubland,1630253,1467.2277,2001-2002
7,Grassland,7,Grassland,540261548,486235.3932,2001-2002
