From,To,Count,Area_km2,Period
5,5,129,11.61,2010-2020
7,7,1623,146.07,2010-2020
7,20,1,0.09,2010-2020
8,8,25721,2314.89,2010-2020
8,13,107,9.629999999999999,2010-2020
8,20,140,12.6,2010-2020
9,9,3,0.27,2010-2020
12,12,200,18.0,2010-2020
12,13,31,2.79,2010-2020
13,13,1001,90.09,2010-2020
15,15,78,7.02,2010-2020
20,7,1,0.09,2010-2020
20,8,36,3.2399999999999998,2010-2020
20,20,16964,1526.76,2010-2020
