From,To,Count,Area_km2,Period
5,5,129,11.61,2000-2010
5,20,3,0.27,2000-2010
7,7,1582,142.38,2000-2010
7,20,17,1.53,2000-2010
8,8,25329,2279.61,2000-2010
8,13,191,17.189999999999998,2000-2010
8,20,656,59.04,2000-2010
9,9,3,0.27,2000-2010
12,12,231,20.79,2000-2010
12,13,147,13.229999999999999,2000-2010
13,13,662,59.58,2000-2010
15,15,78,7.02,2000-2010
20,7,42,3.78,2000-2010
20,8,639,57.51,2000-2010
20,13,1,0.09,2000-2010
20,20,16325,1469.25,2000-2010
