Year,Class,Label,Count,Area_km2,Percentage
2008,9,Wetland,2497500,0.002775,0.06026652790524841
2008,11,Lichens and mosses,937800,0.001042,0.022629809757574358
2008,12,Bareland,302400,0.000336,0.007297136351770617
2008,13,Built-up,155358000,0.17262,3.748903800722155
2008,15,Water,6024600,0.006694,0.1453780676748587
2008,20,Forest,2062721700,2.291913,49.77500496248706
2009,5,Shrubland,37356300,0.041507,0.9014352337885213
2009,7,Grassland,260607600,0.289564,6.288654733821748
2009,8,Cropland,1621607400,1.801786,39.13058963902196
2009,9,Wetland,2254500,0.002505,0.0544027576225756
2009,11,Lichens and mosses,957600,0.001064,0.02310759844727363
2009,12,Bareland,283500,0.000315,0.006841065329784957
2009,13,Built-up,153097200,0.170108,3.694349019425585
2009,15,Water,6976800,0.007752,0.16835536011585073
2009,20,Forest,2060950500,2.289945,49.7322645924267
2010,5,Shrubland,38333700,0.042593,0.925020620925494
2010,7,Grassland,262941300,0.292157,6.344968646203123
2010,8,Cropland,1623936600,1.804374,39.186794963064756
2010,9,Wetland,3082500,0.003425,0.0743830119190904
2010,11,Lichens and mosses,1076400,0.001196,0.025974330585469232
2010,12,Bareland,333900,0.000371,0.008057254721746726
2010,13,Built-up,152856000,0.16984,3.688528684478339
2010,15,Water,5201100,0.005779,0.12550640171691194
2010,20,Forest,2056329900,2.284811,49.62076608638506
2011,5,Shrubland,38240100,0.042489,0.9227619834832794
2011,7,Grassland,263358000,0.29262,6.355023926354521
2011,8,Cropland,1626839100,1.807599,39.25683444144114
2011,9,Wetland,3582000,0.00398,0.0864363175001401
2011,11,Lichens and mosses,1144800,0.001272,0.027624873331703062
2011,12,Bareland,323100,0.000359,0.007796642709183491
2011,13,Built-up,153036900,0.170041,3.692893935688774
2011,15,Water,4794300,0.005327,0.11569001591036339
2011,20,Forest,2052773100,2.280859,49.534937863580915
2012,5,Shrubland,36915300,0.041017,0.8907935766088556
2012,7,Grassland,262606500,0.291785,6.336889673813662
2012,8,Cropland,1635001200,1.816668,39.4537919699358
2012,9,Wetland,3756600,0.004174,0.09064954503657907
2012,11,Lichens and mosses,1002600,0.001114,0.02419348183295378
2012,12,Bareland,300600,0.000334,0.007253701016343412
2012,13,Built-up,151789500,0.168655,3.6627932482377195
2012,15,Water,4816800,0.005352,0.11623295760320344
2012,20,Forest,2047902300,2.275447,49.41740184591489
2013,5,Shrubland,35958600,0.039954,0.8677076958292957
2013,7,Grassland,264912300,0.294347,6.392530338495914
