Period,From,From_Label,To,To_Label,Area_km2
2002-2003,15,Water,5,Shrubland,42.8382
2002-2003,15,Water,7,Grassland,3.4902
2002-2003,15,Water,8,Cropland,57.9681
2002-2003,15,Water,9,Wetland,933.2361
2002-2003,15,Water,11,Lichens and Mosses,2.1591
2002-2003,15,Water,12,Bareland,50.3046
2002-2003,15,Water,13,Built-up,26.0469
2002-2003,15,Water,15,Water,3534003.0
2002-2003,15,Water,16,Permanent ice and snow,22.3974
2002-2003,15,Water,20,Forest,38.3814
2002-2003,16,Permanent ice and snow,5,Shrubland,113.0346
2002-2003,16,Permanent ice and snow,7,Grassland,1.9602
2002-2003,16,Permanent ice and snow,8,Cropland,3.168
2002-2003,16,Permanent ice and snow,9,Wetland,0.0513
2002-2003,16,Permanent ice and snow,11,Lichens and Mosses,0.5526
2002-2003,16,Permanent ice and snow,12,Bareland,119.403
2002-2003,16,Permanent ice and snow,13,Built-up,7.2621
2002-2003,16,Permanent ice and snow,15,Water,65.7954
2002-2003,16,Permanent ice and snow,16,Permanent ice and snow,3744.3519
2002-2003,16,Permanent ice and snow,20,Forest,25.2477
2002-2003,20,Forest,5,Shrubland,3361.2597
2002-2003,20,Forest,7,Grassland,898.7508
2002-2003,20,Forest,8,Cropland,7332.894
2002-2003,20,Forest,9,Wetland,443.8809
2002-2003,20,Forest,11,Lichens and Mosses,8.7264
2002-2003,20,Forest,12,Bareland,72.5949
2002-2003,20,Forest,13,Built-up,596.9484
2002-2003,20,Forest,15,Water,54.0855
2002-2003,20,Forest,16,Permanent ice and snow,7.6905
2002-2003,20,Forest,20,Forest,1113941.0088
2003-2004,5,Shrubland,5,Shrubland,456823.1493
2003-2004,5,Shrubland,7,Grassland,1051.9398
2003-2004,5,Shrubland,8,Cropland,6009.8076
2003-2004,5,Shrubland,9,Wetland,395.5887
2003-2004,5,Shrubland,11,Lichens and Mosses,26.7471
2003-2004,5,Shrubland,12,Bareland,315.4032
2003-2004,5,Shrubland,13,Built-up,810.5112
2003-2004,5,Shrubland,15,Water,29.6316
2003-2004,5,Shrubland,16,Permanent ice and snow,22.5927
2003-2004,5,Shrubland,20,Forest,3193.2621
2003-2004,7,Grassland,5,Shrubland,902.628
2003-2004,7,Grassland,7,Grassland,484023.7746
2003-2004,7,Grassland,8,Cropland,6048.0441
2003-2004,7,Grassland,9,Wetland,154.3122
2003-2004,7,Grassland,11,Lichens and Mosses,18.1944
2003-2004,7,Grassland,12,Bareland,541.5453
2003-2004,7,Grassland,13,Built-up,756.6885
2003-2004,7,Grassland,15,Water,6.3189
2003-2004,7,Grassland,16,Permanent ice and snow,0.4527
2003-2004,7,Grassland,20,Forest,786.555
2003-2004,8,Cropland,5,Shrubland,5628.4029
2003-2004,8,Cropland,7,Grassland,6630.5637
2003-2004,8,Cropland,8,Cropland,1725400.4607
2003-2004,8,Cropland,9,Wetland,959.1597
2003-2004,8,Cropland,11,Lichens and Mosses,40.3587
2003-2004,8,Cropland,12,Bareland,880.866
2003-2004,8,Cropland,13,Built-up,5857.1487
2003-2004,8,Cropland,15,Water,63.1791
2003-2004,8,Cropland,16,Permanent ice and snow,0.8856
2003-2004,8,Cropland,20,Forest,5813.0118
2003-2004,9,Wetland,5,Shrubland,340.1775
2003-2004,9,Wetland,7,Grassland,135.7056
2003-2004,9,Wetland,8,Cropland,735.7176
2003-2004,9,Wetland,9,Wetland,39585.6198
2003-2004,9,Wetland,11,Lichens and Mosses,1.4706
2003-2004,9,Wetland,12,Bareland,799.308
2003-2004,9,Wetland,13,Built-up,68.895
2003-2004,9,Wetland,15,Water,1710.8667
2003-2004,9,Wetland,16,Permanent ice and snow,0.0144
2003-2004,9,Wetland,20,Forest,403.5762
2003-2004,11,Lichens and Mosses,5,Shrubland,25.6005
2003-2004,11,Lichens and Mosses,7,Grassland,20.4228
2003-2004,11,Lichens and Mosses,8,Cropland,39.627
2003-2004,11,Lichens and Mosses,9,Wetland,2.0835
2003-2004,11,Lichens and Mosses,11,Lichens and Mosses,888.8553
2003-2004,11,Lichens and Mosses,12,Bareland,9.558
2003-2004,11,Lichens and Mosses,13,Built-up,8.4726
2003-2004,11,Lichens and Mosses,15,Water,3.2283
2003-2004,11,Lichens and Mosses,16,Permanent ice and snow,0.0972
2003-2004,11,Lichens and Mosses,20,Forest,7.2216
2003-2004,12,Bareland,5,Shrubland,238.0518
2003-2004,12,Bareland,7,Grassland,544.4793
2003-2004,12,Bareland,8,Cropland,855.6381
2003-2004,12,Bareland,9,Wetland,838.0269
2003-2004,12,Bareland,11,Lichens and Mosses,4.4082
2003-2004,12,Bareland,12,Bareland,1086276.2202
2003-2004,12,Bareland,13,Built-up,306.9576
2003-2004,12,Bareland,15,Water,68.5602
2003-2004,12,Bareland,16,Permanent ice and snow,25.8273
2003-2004,12,Bareland,20,Forest,55.7388
2003-2004,13,Built-up,5,Shrubland,730.1178
2003-2004,13,Built-up,7,Grassland,599.4684
2003-2004,13,Built-up,8,Cropland,5238.8289
2003-2004,13,Built-up,9,Wetland,88.8903
2003-2004,13,Built-up,11,Lichens and Mosses,7.2333
2003-2004,13,Built-up,12,Bareland,242.6913
2003-2004,13,Built-up,13,Built-up,99219.5487
2003-2004,13,Built-up,15,Water,28.5192
2003-2004,13,Built-up,16,Permanent ice and snow,1.2951
2003-2004,13,Built-up,20,Forest,546.9318
2003-2004,15,Water,5,Shrubland,49.3956
2003-2004,15,Water,7,Grassland,3.6252
2003-2004,15,Water,8,Cropland,61.3854
2003-2004,15,Water,9,Wetland,1219.1931
2003-2004,15,Water,11,Lichens and Mosses,5.6664
2003-2004,15,Water,12,Bareland,45.3753
2003-2004,15,Water,13,Built-up,21.1383
2003-2004,15,Water,15,Water,3534441.2721
2003-2004,15,Water,16,Permanent ice and snow,15.7626
2003-2004,15,Water,20,Forest,37.4391
2003-2004,16,Permanent ice and snow,5,Shrubland,92.4705
2003-2004,16,Permanent ice and snow,7,Grassland,2.8881
2003-2004,16,Permanent ice and snow,8,Cropland,5.0904
2003-2004,16,Permanent ice and snow,9,Wetland,0.0657
2003-2004,16,Permanent ice and snow,11,Lichens and Mosses,0.6516
2003-2004,16,Permanent ice and snow,12,Bareland,150.4692
2003-2004,16,Permanent ice and snow,13,Built-up,9.2178
2003-2004,16,Permanent ice and snow,15,Water,116.5284
2003-2004,16,Permanent ice and snow,16,Permanent ice and snow,3410.4735
2003-2004,16,Permanent ice and snow,20,Forest,35.0829
2003-2004,20,Forest,5,Shrubland,3868.614
2003-2004,20,Forest,7,Grassland,760.0248
2003-2004,20,Forest,8,Cropland,7356.2976
2003-2004,20,Forest,9,Wetland,453.8475
2003-2004,20,Forest,11,Lichens and Mosses,8.3646
2003-2004,20,Forest,12,Bareland,63.8622
2003-2004,20,Forest,13,Built-up,571.6359
2003-2004,20,Forest,15,Water,52.4106
2003-2004,20,Forest,16,Permanent ice and snow,4.6953
2003-2004,20,Forest,20,Forest,1112167.9107
2004-2005,5,Shrubland,5,Shrubland,458141.9688
2004-2005,5,Shrubland,7,Grassland,1083.8727
2004-2005,5,Shrubland,8,Cropland,5424.8742
2004-2005,5,Shrubland,9,Wetland,358.0164
2004-2005,5,Shrubland,11,Lichens and Mosses,34.6239
2004-2005,5,Shrubland,12,Bareland,314.7552
2004-2005,5,Shrubland,13,Built-up,766.0548
2004-2005,5,Shrubland,15,Water,30.3615
2004-2005,5,Shrubland,16,Permanent ice and snow,37.2483
2004-2005,5,Shrubland,20,Forest,2506.8267
2004-2005,7,Grassland,5,Shrubland,1038.4677
2004-2005,7,Grassland,7,Grassland,484176.7809
2004-2005,7,Grassland,8,Cropland,6091.4115
2004-2005,7,Grassland,9,Wetland,167.0283
2004-2005,7,Grassland,11,Lichens and Mosses,19.1394
2004-2005,7,Grassland,12,Bareland,701.9028
2004-2005,7,Grassland,13,Built-up,712.512
2004-2005,7,Grassland,15,Water,4.1688
2004-2005,7,Grassland,16,Permanent ice and snow,1.2582
2004-2005,7,Grassland,20,Forest,860.2227
2004-2005,8,Cropland,5,Shrubland,5378.4243
2004-2005,8,Cropland,7,Grassland,6939.7119
2004-2005,8,Cropland,8,Cropland,1726798.4289
2004-2005,8,Cropland,9,Wetland,846.6732
2004-2005,8,Cropland,11,Lichens and Mosses,38.2338
2004-2005,8,Cropland,12,Bareland,949.9968
2004-2005,8,Cropland,13,Built-up,5791.0788
2004-2005,8,Cropland,15,Water,51.7059
2004-2005,8,Cropland,16,Permanent ice and snow,2.4399
2004-2005,8,Cropland,20,Forest,4954.203
2004-2005,9,Wetland,5,Shrubland,372.3615
2004-2005,9,Wetland,7,Grassland,137.4147
2004-2005,9,Wetland,8,Cropland,767.3553
2004-2005,9,Wetland,9,Wetland,39508.1352
2004-2005,9,Wetland,11,Lichens and Mosses,1.1961
2004-2005,9,Wetland,12,Bareland,1010.4534
2004-2005,9,Wetland,13,Built-up,82.4022
2004-2005,9,Wetland,15,Water,1427.3388
2004-2005,9,Wetland,16,Permanent ice and snow,0.0171
2004-2005,9,Wetland,20,Forest,390.1122
2004-2005,11,Lichens and Mosses,5,Shrubland,32.2002
2004-2005,11,Lichens and Mosses,7,Grassland,24.4008
2004-2005,11,Lichens and Mosses,8,Cropland,44.1621
2004-2005,11,Lichens and Mosses,9,Wetland,1.5156
2004-2005,11,Lichens and Mosses,11,Lichens and Mosses,873.99
2004-2005,11,Lichens and Mosses,12,Bareland,6.6384
2004-2005,11,Lichens and Mosses,13,Built-up,8.8749
2004-2005,11,Lichens and Mosses,15,Water,2.1474
2004-2005,11,Lichens and Mosses,16,Permanent ice and snow,0.1773
2004-2005,11,Lichens and Mosses,20,Forest,7.8435
2004-2005,12,Bareland,5,Shrubland,307.7784
2004-2005,12,Bareland,7,Grassland,659.952
2004-2005,12,Bareland,8,Cropland,730.2069
2004-2005,12,Bareland,9,Wetland,971.3565
2004-2005,12,Bareland,11,Lichens and Mosses,13.6593
2004-2005,12,Bareland,12,Bareland,1086140.8476
2004-2005,12,Bareland,13,Built-up,292.7259
2004-2005,12,Bareland,15,Water,76.8393
2004-2005,12,Bareland,16,Permanent ice and snow,49.572
2004-2005,12,Bareland,20,Forest,82.3617
2004-2005,13,Built-up,5,Shrubland,706.0914
2004-2005,13,Built-up,7,Grassland,597.7674
2004-2005,13,Built-up,8,Cropland,4632.0615
2004-2005,13,Built-up,9,Wetland,69.3999
2004-2005,13,Built-up,11,Lichens and Mosses,5.5134
2004-2005,13,Built-up,12,Bareland,253.0908
2004-2005,13,Built-up,13,Built-up,100875.0528
2004-2005,13,Built-up,15,Water,27.1503
2004-2005,13,Built-up,16,Permanent ice and snow,2.5893
2004-2005,13,Built-up,20,Forest,461.5137
2004-2005,15,Water,5,Shrubland,35.3088
2004-2005,15,Water,7,Grassland,10.0242
2004-2005,15,Water,8,Cropland,91.6992
2004-2005,15,Water,9,Wetland,1426.0041
2004-2005,15,Water,11,Lichens and Mosses,1.2987
2004-2005,15,Water,12,Bareland,55.7784
2004-2005,15,Water,13,Built-up,23.0103
2004-2005,15,Water,15,Water,3534806.6658
2004-2005,15,Water,16,Permanent ice and snow,27.5778
2004-2005,15,Water,20,Forest,43.1469
2004-2005,16,Permanent ice and snow,5,Shrubland,61.9398
2004-2005,16,Permanent ice and snow,7,Grassland,1.6227
2004-2005,16,Permanent ice and snow,8,Cropland,2.475
2004-2005,16,Permanent ice and snow,9,Wetland,0.0315
2004-2005,16,Permanent ice and snow,11,Lichens and Mosses,0.4509
2004-2005,16,Permanent ice and snow,12,Bareland,113.6682
2004-2005,16,Permanent ice and snow,13,Built-up,4.9464
2004-2005,16,Permanent ice and snow,15,Water,75.7224
2004-2005,16,Permanent ice and snow,16,Permanent ice and snow,3206.0088
2004-2005,16,Permanent ice and snow,20,Forest,15.2298
2004-2005,20,Forest,5,Shrubland,3049.3836
2004-2005,20,Forest,7,Grassland,798.1974
2004-2005,20,Forest,8,Cropland,6589.8576
2004-2005,20,Forest,9,Wetland,431.0955
2004-2005,20,Forest,11,Lichens and Mosses,8.6427
2004-2005,20,Forest,12,Bareland,50.6439
2004-2005,20,Forest,13,Built-up,579.5811
2004-2005,20,Forest,15,Water,58.815
2004-2005,20,Forest,16,Permanent ice and snow,10.0809
2004-2005,20,Forest,20,Forest,1111470.4359
2005-2006,5,Shrubland,5,Shrubland,456912.3015
2005-2006,5,Shrubland,7,Grassland,1205.3763
2005-2006,5,Shrubland,8,Cropland,6057.225
2005-2006,5,Shrubland,9,Wetland,370.5174
2005-2006,5,Shrubland,11,Lichens and Mosses,32.184
2005-2006,5,Shrubland,12,Bareland,516.5928
2005-2006,5,Shrubland,13,Built-up,754.7202
2005-2006,5,Shrubland,15,Water,33.0399
2005-2006,5,Shrubland,16,Permanent ice and snow,72.1998
2005-2006,5,Shrubland,20,Forest,3169.7649
2005-2006,7,Grassland,5,Shrubland,1144.5579
2005-2006,7,Grassland,7,Grassland,483820.3404
2005-2006,7,Grassland,8,Cropland,6818.5062
2005-2006,7,Grassland,9,Wetland,141.7482
2005-2006,7,Grassland,11,Lichens and Mosses,23.4405
2005-2006,7,Grassland,12,Bareland,983.8683
2005-2006,7,Grassland,13,Built-up,692.7435
2005-2006,7,Grassland,15,Water,4.3686
2005-2006,7,Grassland,16,Permanent ice and snow,1.4373
2005-2006,7,Grassland,20,Forest,798.7428
2005-2006,8,Cropland,5,Shrubland,6079.6161
2005-2006,8,Cropland,7,Grassland,8827.1469
2005-2006,8,Cropland,8,Cropland,1723279.9392
2005-2006,8,Cropland,9,Wetland,817.974
2005-2006,8,Cropland,11,Lichens and Mosses,37.5408
2005-2006,8,Cropland,12,Bareland,789.264
2005-2006,8,Cropland,13,Built-up,5799.0996
2005-2006,8,Cropland,15,Water,38.0331
2005-2006,8,Cropland,16,Permanent ice and snow,2.2446
2005-2006,8,Cropland,20,Forest,5501.6496
2005-2006,9,Wetland,5,Shrubland,391.6467
2005-2006,9,Wetland,7,Grassland,177.543
2005-2006,9,Wetland,8,Cropland,854.217
2005-2006,9,Wetland,9,Wetland,39545.8596
2005-2006,9,Wetland,11,Lichens and Mosses,0.9144
2005-2006,9,Wetland,12,Bareland,1330.9164
2005-2006,9,Wetland,13,Built-up,86.7384
2005-2006,9,Wetland,15,Water,1016.2836
2005-2006,9,Wetland,16,Permanent ice and snow,0.0432
2005-2006,9,Wetland,20,Forest,375.0984
2005-2006,11,Lichens and Mosses,5,Shrubland,26.2008
2005-2006,11,Lichens and Mosses,7,Grassland,24.2802
2005-2006,11,Lichens and Mosses,8,Cropland,46.3608
2005-2006,11,Lichens and Mosses,9,Wetland,1.2852
2005-2006,11,Lichens and Mosses,11,Lichens and Mosses,873.261
2005-2006,11,Lichens and Mosses,12,Bareland,7.5924
2005-2006,11,Lichens and Mosses,13,Built-up,7.4916
2005-2006,11,Lichens and Mosses,15,Water,0.8451
2005-2006,11,Lichens and Mosses,16,Permanent ice and snow,0.5004
2005-2006,11,Lichens and Mosses,20,Forest,8.928
2005-2006,12,Bareland,5,Shrubland,262.7226
2005-2006,12,Bareland,7,Grassland,822.3849
2005-2006,12,Bareland,8,Cropland,874.5435
2005-2006,12,Bareland,9,Wetland,904.6854
2005-2006,12,Bareland,11,Lichens and Mosses,3.4011
2005-2006,12,Bareland,12,Bareland,1086182.5104
2005-2006,12,Bareland,13,Built-up,281.4273
2005-2006,12,Bareland,15,Water,61.2252
2005-2006,12,Bareland,16,Permanent ice and snow,144.0459
2005-2006,12,Bareland,20,Forest,60.8346
2005-2006,13,Built-up,5,Shrubland,718.7004
2005-2006,13,Built-up,7,Grassland,646.3683
2005-2006,13,Built-up,8,Cropland,4767.8283
2005-2006,13,Built-up,9,Wetland,69.9741
2005-2006,13,Built-up,11,Lichens and Mosses,5.9571
2005-2006,13,Built-up,12,Bareland,285.3657
2005-2006,13,Built-up,13,Built-up,102105.1926
2005-2006,13,Built-up,15,Water,21.1788
2005-2006,13,Built-up,16,Permanent ice and snow,5.6637
2005-2006,13,Built-up,20,Forest,510.0138
2005-2006,15,Water,5,Shrubland,36.9261
2005-2006,15,Water,7,Grassland,5.4324
2005-2006,15,Water,8,Cropland,84.8376
2005-2006,15,Water,9,Wetland,2212.9155
2005-2006,15,Water,11,Lichens and Mosses,1.8999
2005-2006,15,Water,12,Bareland,66.3957
2005-2006,15,Water,13,Built-up,31.3398
2005-2006,15,Water,15,Water,3533961.5019
2005-2006,15,Water,16,Permanent ice and snow,96.5088
2005-2006,15,Water,20,Forest,63.1575
2005-2006,16,Permanent ice and snow,5,Shrubland,34.8201
2005-2006,16,Permanent ice and snow,7,Grassland,1.5813
2005-2006,16,Permanent ice and snow,8,Cropland,2.2788
2005-2006,16,Permanent ice and snow,9,Wetland,0.0297
2005-2006,16,Permanent ice and snow,11,Lichens and Mosses,0.2601
2005-2006,16,Permanent ice and snow,12,Bareland,31.1526
2005-2006,16,Permanent ice and snow,13,Built-up,1.9953
2005-2006,16,Permanent ice and snow,15,Water,25.7418
2005-2006,16,Permanent ice and snow,16,Permanent ice and snow,3231.3177
2005-2006,16,Permanent ice and snow,20,Forest,7.794
2005-2006,20,Forest,5,Shrubland,3278.6676
2005-2006,20,Forest,7,Grassland,887.1633
2005-2006,20,Forest,8,Cropland,6911.3151
2005-2006,20,Forest,9,Wetland,407.7747
2005-2006,20,Forest,11,Lichens and Mosses,6.0264
2005-2006,20,Forest,12,Bareland,49.4091
2005-2006,20,Forest,13,Built-up,529.6959
2005-2006,20,Forest,15,Water,40.4748
2005-2006,20,Forest,16,Permanent ice and snow,19.9134
2005-2006,20,Forest,20,Forest,1108661.4558
2006-2007,5,Shrubland,5,Shrubland,458016.8958
2006-2007,5,Shrubland,7,Grassland,1254.5199
2006-2007,5,Shrubland,8,Cropland,5609.2428
2006-2007,5,Shrubland,9,Wetland,376.9641
2006-2007,5,Shrubland,11,Lichens and Mosses,25.4457
2006-2007,5,Shrubland,12,Bareland,394.8147
2006-2007,5,Shrubland,13,Built-up,760.302
2006-2007,5,Shrubland,15,Water,29.9484
2006-2007,5,Shrubland,16,Permanent ice and snow,62.1018
2006-2007,5,Shrubland,20,Forest,2355.9273
2006-2007,7,Grassland,5,Shrubland,1016.0037
2006-2007,7,Grassland,7,Grassland,486703.3428
2006-2007,7,Grassland,8,Cropland,6178.0626
2006-2007,7,Grassland,9,Wetland,187.9056
2006-2007,7,Grassland,11,Lichens and Mosses,18.6993
2006-2007,7,Grassland,12,Bareland,915.2118
2006-2007,7,Grassland,13,Built-up,691.4682
2006-2007,7,Grassland,15,Water,4.3569
2006-2007,7,Grassland,16,Permanent ice and snow,2.9259
2006-2007,7,Grassland,20,Forest,699.6348
2006-2007,8,Cropland,5,Shrubland,5187.87
2006-2007,8,Cropland,7,Grassland,8343.7227
2006-2007,8,Cropland,8,Cropland,1723771.2546
2006-2007,8,Cropland,9,Wetland,785.3391
2006-2007,8,Cropland,11,Lichens and Mosses,29.5605
2006-2007,8,Cropland,12,Bareland,765.7209
2006-2007,8,Cropland,13,Built-up,5704.2459
2006-2007,8,Cropland,15,Water,32.2569
2006-2007,8,Cropland,16,Permanent ice and snow,2.4309
2006-2007,8,Cropland,20,Forest,5074.6284
2006-2007,9,Wetland,5,Shrubland,382.1823
2006-2007,9,Wetland,7,Grassland,149.6394
2006-2007,9,Wetland,8,Cropland,874.1016
2006-2007,9,Wetland,9,Wetland,40277.1402
2006-2007,9,Wetland,11,Lichens and Mosses,3.1131
2006-2007,9,Wetland,12,Bareland,815.7294
2006-2007,9,Wetland,13,Built-up,91.755
2006-2007,9,Wetland,15,Water,1479.4596
2006-2007,9,Wetland,16,Permanent ice and snow,0.0414
2006-2007,9,Wetland,20,Forest,399.6018
2006-2007,11,Lichens and Mosses,5,Shrubland,31.5828
2006-2007,11,Lichens and Mosses,7,Grassland,23.1561
2006-2007,11,Lichens and Mosses,8,Cropland,40.8249
2006-2007,11,Lichens and Mosses,9,Wetland,0.9315
2006-2007,11,Lichens and Mosses,11,Lichens and Mosses,868.7232
2006-2007,11,Lichens and Mosses,12,Bareland,5.2083
2006-2007,11,Lichens and Mosses,13,Built-up,5.7294
2006-2007,11,Lichens and Mosses,15,Water,0.8307
2006-2007,11,Lichens and Mosses,16,Permanent ice and snow,0.5193
2006-2007,11,Lichens and Mosses,20,Forest,7.3764
2006-2007,12,Bareland,5,Shrubland,252.5004
2006-2007,12,Bareland,7,Grassland,802.6515
2006-2007,12,Bareland,8,Cropland,889.317
2006-2007,12,Bareland,9,Wetland,1242.0423
2006-2007,12,Bareland,11,Lichens and Mosses,4.5009
2006-2007,12,Bareland,12,Bareland,1086555.4578
2006-2007,12,Bareland,13,Built-up,306.8145
2006-2007,12,Bareland,15,Water,43.9353
2006-2007,12,Bareland,16,Permanent ice and snow,69.0084
2006-2007,12,Bareland,20,Forest,76.8384
2006-2007,13,Built-up,5,Shrubland,690.0021
2006-2007,13,Built-up,7,Grassland,608.3307
2006-2007,13,Built-up,8,Cropland,4493.1087
2006-2007,13,Built-up,9,Wetland,67.1787
2006-2007,13,Built-up,11,Lichens and Mosses,6.0435
2006-2007,13,Built-up,12,Bareland,237.9861
2006-2007,13,Built-up,13,Built-up,103677.4026
2006-2007,13,Built-up,15,Water,22.1499
2006-2007,13,Built-up,16,Permanent ice and snow,4.1472
2006-2007,13,Built-up,20,Forest,484.1109
2006-2007,15,Water,5,Shrubland,33.5511
2006-2007,15,Water,7,Grassland,5.1057
2006-2007,15,Water,8,Cropland,57.7287
2006-2007,15,Water,9,Wetland,1764.4635
2006-2007,15,Water,11,Lichens and Mosses,4.4298
2006-2007,15,Water,12,Bareland,66.3822
2006-2007,15,Water,13,Built-up,24.579
2006-2007,15,Water,15,Water,3533115.6027
2006-2007,15,Water,16,Permanent ice and snow,68.1417
2006-2007,15,Water,20,Forest,62.7102
2006-2007,16,Permanent ice and snow,5,Shrubland,39.9267
2006-2007,16,Permanent ice and snow,7,Grassland,1.7082
2006-2007,16,Permanent ice and snow,8,Cropland,2.421
2006-2007,16,Permanent ice and snow,9,Wetland,0.0432
2006-2007,16,Permanent ice and snow,11,Lichens and Mosses,0.1782
2006-2007,16,Permanent ice and snow,12,Bareland,63.2943
2006-2007,16,Permanent ice and snow,13,Built-up,3.1707
2006-2007,16,Permanent ice and snow,15,Water,50.2497
2006-2007,16,Permanent ice and snow,16,Permanent ice and snow,3396.9762
2006-2007,16,Permanent ice and snow,20,Forest,15.9048
2006-2007,20,Forest,5,Shrubland,2930.4216
2006-2007,20,Forest,7,Grassland,799.4547
2006-2007,20,Forest,8,Cropland,5916.1617
2006-2007,20,Forest,9,Wetland,379.4886
2006-2007,20,Forest,11,Lichens and Mosses,5.5512
2006-2007,20,Forest,12,Bareland,52.2765
2006-2007,20,Forest,13,Built-up,538.9632
2006-2007,20,Forest,15,Water,35.6382
2006-2007,20,Forest,16,Permanent ice and snow,14.0697
2006-2007,20,Forest,20,Forest,1108485.4113
2007-2008,5,Shrubland,5,Shrubland,455926.0239
2007-2008,5,Shrubland,7,Grassland,1478.8341
2007-2008,5,Shrubland,8,Cropland,7102.8144
2007-2008,5,Shrubland,9,Wetland,409.9923
2007-2008,5,Shrubland,11,Lichens and Mosses,36.2079
2007-2008,5,Shrubland,12,Bareland,340.3305
2007-2008,5,Shrubland,13,Built-up,740.6514
2007-2008,5,Shrubland,15,Water,37.8072
2007-2008,5,Shrubland,16,Permanent ice and snow,44.3169
2007-2008,5,Shrubland,20,Forest,2463.9597
2007-2008,7,Grassland,5,Shrubland,1211.8311
2007-2008,7,Grassland,7,Grassland,483747.4746
2007-2008,7,Grassland,8,Cropland,10908.5049
2007-2008,7,Grassland,9,Wetland,225.1575
2007-2008,7,Grassland,11,Lichens and Mosses,20.0691
2007-2008,7,Grassland,12,Bareland,897.4557
2007-2008,7,Grassland,13,Built-up,722.9709
2007-2008,7,Grassland,15,Water,9.792
2007-2008,7,Grassland,16,Permanent ice and snow,1.6677
2007-2008,7,Grassland,20,Forest,946.7118
2007-2008,8,Cropland,5,Shrubland,6062.7987
2007-2008,8,Cropland,7,Grassland,8991.1458
2007-2008,8,Cropland,8,Cropland,1719698.1291
2007-2008,8,Cropland,9,Wetland,965.0151
2007-2008,8,Cropland,11,Lichens and Mosses,36.6579
2007-2008,8,Cropland,12,Bareland,993.9681
2007-2008,8,Cropland,13,Built-up,5807.1447
2007-2008,8,Cropland,15,Water,48.2886
2007-2008,8,Cropland,16,Permanent ice and snow,3.1329
2007-2008,8,Cropland,20,Forest,5225.9517
2007-2008,9,Wetland,5,Shrubland,353.2329
2007-2008,9,Wetland,7,Grassland,158.2416
2007-2008,9,Wetland,8,Cropland,956.0529
2007-2008,9,Wetland,9,Wetland,40571.0469
2007-2008,9,Wetland,11,Lichens and Mosses,1.5219
2007-2008,9,Wetland,12,Bareland,961.8255
2007-2008,9,Wetland,13,Built-up,88.3116
2007-2008,9,Wetland,15,Water,1564.911
2007-2008,9,Wetland,16,Permanent ice and snow,0.0585
2007-2008,9,Wetland,20,Forest,426.294
2007-2008,11,Lichens and Mosses,5,Shrubland,32.9328
2007-2008,11,Lichens and Mosses,7,Grassland,33.5295
2007-2008,11,Lichens and Mosses,8,Cropland,57.5784
2007-2008,11,Lichens and Mosses,9,Wetland,2.8341
2007-2008,11,Lichens and Mosses,11,Lichens and Mosses,818.496
2007-2008,11,Lichens and Mosses,12,Bareland,3.4947
2007-2008,11,Lichens and Mosses,13,Built-up,6.831
2007-2008,11,Lichens and Mosses,15,Water,1.6659
2007-2008,11,Lichens and Mosses,16,Permanent ice and snow,0.2691
2007-2008,11,Lichens and Mosses,20,Forest,8.6148
2007-2008,12,Bareland,5,Shrubland,346.1994
2007-2008,12,Bareland,7,Grassland,1180.6515
2007-2008,12,Bareland,8,Cropland,1077.9588
2007-2008,12,Bareland,9,Wetland,986.463
2007-2008,12,Bareland,11,Lichens and Mosses,6.786
2007-2008,12,Bareland,12,Bareland,1085727.2508
2007-2008,12,Bareland,13,Built-up,310.4973
2007-2008,12,Bareland,15,Water,66.9123
2007-2008,12,Bareland,16,Permanent ice and snow,79.1343
2007-2008,12,Bareland,20,Forest,90.2295
2007-2008,13,Built-up,5,Shrubland,773.2197
2007-2008,13,Built-up,7,Grassland,655.9821
2007-2008,13,Built-up,8,Cropland,4625.0982
2007-2008,13,Built-up,9,Wetland,79.0767
2007-2008,13,Built-up,11,Lichens and Mosses,5.3397
2007-2008,13,Built-up,12,Bareland,248.2623
2007-2008,13,Built-up,13,Built-up,104900.2335
2007-2008,13,Built-up,15,Water,21.0438
2007-2008,13,Built-up,16,Permanent ice and snow,3.7098
2007-2008,13,Built-up,20,Forest,492.471
2007-2008,15,Water,5,Shrubland,32.4369
2007-2008,15,Water,7,Grassland,8.0514
2007-2008,15,Water,8,Cropland,45.1647
2007-2008,15,Water,9,Wetland,1473.1092
2007-2008,15,Water,11,Lichens and Mosses,1.3149
2007-2008,15,Water,12,Bareland,47.1915
2007-2008,15,Water,13,Built-up,24.9948
2007-2008,15,Water,15,Water,3533045.9526
2007-2008,15,Water,16,Permanent ice and snow,91.0449
2007-2008,15,Water,20,Forest,45.1683
2007-2008,16,Permanent ice and snow,5,Shrubland,84.7224
2007-2008,16,Permanent ice and snow,7,Grassland,2.6181
2007-2008,16,Permanent ice and snow,8,Cropland,2.268
2007-2008,16,Permanent ice and snow,9,Wetland,0.0387
2007-2008,16,Permanent ice and snow,11,Lichens and Mosses,0.3015
2007-2008,16,Permanent ice and snow,12,Bareland,90.945
2007-2008,16,Permanent ice and snow,13,Built-up,5.2956
2007-2008,16,Permanent ice and snow,15,Water,33.9156
2007-2008,16,Permanent ice and snow,16,Permanent ice and snow,3386.808
2007-2008,16,Permanent ice and snow,20,Forest,13.4487
2007-2008,20,Forest,5,Shrubland,3465.81
