Period,From,From_Label,To,To_Label,Area_km2
1990-1995,12,Bareland,9,Wetland,720.5211
1990-1995,12,Bareland,12,Bareland,1103224.7061
1990-1995,12,Bareland,13,Built-up,106.4295
1990-1995,12,Bareland,15,Water,229.0905
1990-1995,12,Bareland,16,Permanent ice and snow,13.2543
1990-1995,12,Bareland,20,Forest,13.4496
1990-1995,13,Built-up,5,Shrubland,0.0504
1990-1995,13,Built-up,7,Grassland,0.0747
1990-1995,13,Built-up,8,Cropland,0.7389
1990-1995,13,Built-up,9,Wetland,3.1779
1990-1995,13,Built-up,12,Bareland,0.0018
1990-1995,13,Built-up,13,Built-up,64089.4131
1990-1995,13,Built-up,15,Water,1.5552
1990-1995,13,Built-up,16,Permanent ice and snow,0.0351
1990-1995,13,Built-up,20,Forest,2.1195
1990-1995,15,Water,5,Shrubland,81.0738
1990-1995,15,Water,7,Grassland,14.5314
1990-1995,15,Water,8,Cropland,267.6924
1990-1995,15,Water,9,Wetland,1275.0012
1990-1995,15,Water,12,Bareland,112.8789
1990-1995,15,Water,13,Built-up,24.4116
1990-1995,15,Water,15,Water,3525190.785
1990-1995,15,Water,16,Permanent ice and snow,10.3257
1990-1995,15,Water,20,Forest,68.8806
1990-1995,16,Permanent ice and snow,5,Shrubland,26.4132
1990-1995,16,Permanent ice and snow,7,Grassland,0.5058
1990-1995,16,Permanent ice and snow,8,Cropland,1.4463
1990-1995,16,Permanent ice and snow,9,Wetland,0.0009
1990-1995,16,Permanent ice and snow,12,Bareland,17.1387
1990-1995,16,Permanent ice and snow,13,Built-up,0.1089
1990-1995,16,Permanent ice and snow,15,Water,15.7599
1990-1995,16,Permanent ice and snow,16,Permanent ice and snow,4184.2836
1990-1995,16,Permanent ice and snow,20,Forest,10.4301
1990-1995,20,Forest,5,Shrubland,6397.5384
1990-1995,20,Forest,7,Grassland,2264.7978
1990-1995,20,Forest,8,Cropland,12621.636
1990-1995,20,Forest,9,Wetland,488.2014
1990-1995,20,Forest,12,Bareland,8.5968
1990-1995,20,Forest,13,Built-up,195.2829
