From,To,Count,Area_km2,From_Label,To_Label,Period
8,20,10568040,9511.236,Cropland,Forest,1990-1995
9,5,532535,479.2815,Wetland,Shrubland,1990-1995
9,7,129320,116.388,Wetland,Grassland,1990-1995
9,8,1271701,1144.5309,Wetland,Cropland,1990-1995
9,9,24235637,21812.0733,Wetland,Wetland,1990-1995
9,12,1008597,907.7373,Wetland,Bareland,1990-1995
9,13,44591,40.1319,Wetland,Built-up,1990-1995
9,15,13759517,12383.5653,Wetland,Water,1990-1995
9,16,2,0.0018,Wetland,Permanent ice and snow,1990-1995
9,20,492658,443.3922,Wetland,Forest,1990-1995
11,11,1,0.0009,Lichens and Mosses,Lichens and Mosses,1990-1995
12,5,523041,470.7369,Bareland,Shrubland,1990-1995
12,7,1520457,1368.4113,Bareland,Grassland,1990-1995
12,8,3071338,2764.2042,Bareland,Cropland,1990-1995
12,9,800579,720.5211,Bareland,Wetland,1990-1995
12,12,1225805229,1103224.7061,Bareland,Bareland,1990-1995
12,13,118255,106.4295,Bareland,Built-up,1990-1995
12,15,254545,229.0905,Bareland,Water,1990-1995
12,16,14727,13.2543,Bareland,Permanent ice and snow,1990-1995
12,20,14944,13.4496,Bareland,Forest,1990-1995
13,5,56,0.0504,Built-up,Shrubland,1990-1995
13,7,83,0.0747,Built-up,Grassland,1990-1995
13,8,821,0.7389,Built-up,Cropland,1990-1995
13,9,3531,3.1779,Built-up,Wetland,1990-1995
13,12,2,0.0018,Built-up,Bareland,1990-1995
13,13,71210459,64089.4131,Built-up,Built-up,1990-1995
13,15,1728,1.5552,Built-up,Water,1990-1995
13,16,39,0.0351,Built-up,Permanent ice and snow,1990-1995
13,20,2355,2.1195,Built-up,Forest,1990-1995
15,5,90082,81.0738,Water,Shrubland,1990-1995
15,7,16146,14.5314,Water,Grassland,1990-1995
15,8,297436,267.6924,Water,Cropland,1990-1995
15,9,1416668,1275.0012,Water,Wetland,1990-1995
15,12,125421,112.8789,Water,Bareland,1990-1995
15,13,27124,24.4116,Water,Built-up,1990-1995
15,15,3916878650,3525190.785,Water,Water,1990-1995
15,16,11473,10.3257,Water,Permanent ice and snow,1990-1995
15,20,76534,68.8806,Water,Forest,1990-1995
16,5,29348,26.4132,Permanent ice and snow,Shrubland,1990-1995
16,7,562,0.5058,Permanent ice and snow,Grassland,1990-1995
