year,code,count,class,area_km2,pct
2022,5,2765864,Shrubland,248927.75999999998,2.8880798874240856
2022,7,4517496,Grassland,406574.64,4.71711166533089
2022,8,22042216,Cropland,1983799.44,23.01620061718775
2022,9,164723,Wetland,14825.07,0.17200165420142047
2022,11,2077,Lichens & Mosses,186.93,0.0021687768907581234
2022,12,14470571,Bareland,1302351.39,15.109985546882362
2022,13,1044796,Built-up,94031.64,1.0909626482217256
2022,15,39415415,Water,3547387.35,41.15707327474294
2022,16,22194,Ice/Snow,1997.46,0.023174691532732685
2022,20,11322913,Forest,1019062.1699999999,11.823241237585332
