year,code,count,class,area_km2,pct
2019,5,2607912,Shrubland,234712.08,2.7231484250027918
2019,7,4601067,Grassland,414096.02999999997,4.804375436894466
2019,8,22083958,Cropland,1987556.22,23.05978708082474
2019,9,163623,Wetland,14726.07,0.17085304824098047
2019,11,2077,Lichens & Mosses,186.93,0.0021687768907581234
2019,12,14580957,Bareland,1312286.13,15.225249199199755
2019,13,1001630,Built-up,90146.7,1.0458892619595854
2019,15,39416072,Water,3547446.48,41.157759305757494
2019,16,22194,Ice/Snow,1997.46,0.023174691532732685
2019,20,11288775,Forest,1015989.75,11.787594773696695
