year,code,count,class,area_km2,pct
2017,5,2450675,Shrubland,220560.75,2.558963556455784
2017,7,4700975,Grassland,423087.75,4.90869809534505
2017,8,22133587,Cropland,1992022.8299999998,23.11160904919808
2017,9,163484,Wetland,14713.56,0.1707079062150703
2017,11,2077,Lichens & Mosses,186.93,0.0021687768907581234
2017,12,14658531,Bareland,1319267.79,15.30625097990446
2017,13,977954,Built-up,88015.86,1.021167084941969
2017,15,39416893,Water,3547520.3699999996,41.15861658347888
2017,16,22194,Ice/Snow,1997.46,0.023174691532732685
2017,20,11241895,Forest,1011770.5499999999,11.738643276037214
