year,code,count,class,area_km2,pct
2006,5,2446310,Shrubland,220167.9,2.554405679167311
2006,7,4734098,Grassland,426068.82,4.943284709188372
2006,8,22372976,Cropland,2013567.8399999999,23.3615759876197
2006,9,162463,Wetland,14621.67,0.16964179104633462
2006,11,2078,Lichens & Mosses,187.01999999999998,0.0021698210779948868
2006,12,14815224,Bareland,1333370.16,15.469867810594668
2006,13,783592,Built-up,70523.28,0.8182167652301104
2006,15,39425989,Water,3548339.01,41.16811451058448
2006,16,22194,Ice/Snow,1997.46,0.023174691532732685
2006,20,11003341,Forest,990300.69,11.489548233958295
