year,code,count,class,area_km2,pct
2018,5,2551783,Shrubland,229660.47,2.6645392395904843
2018,7,4638745,Grassland,417487.05,4.843718323601247
2018,8,22107067,Cropland,1989636.03,23.08391720367911
2018,9,163396,Wetland,14705.64,0.1706160177382351
2018,11,2077,Lichens & Mosses,186.93,0.0021687768907581234
2018,12,14606202,Bareland,1314558.18,15.251609705991854
2018,13,994854,Built-up,89536.86,1.0388138492432748
2018,15,39416503,Water,3547485.27,41.158209350456545
2018,16,22194,Ice/Snow,1997.46,0.023174691532732685
2018,20,11265444,Forest,1013889.96,11.763232841275762
