year,code,count,class,area_km2,pct
2010,5,2412828,Shrubland,217154.52,2.5194442021059897
2010,7,4742646,Grassland,426838.13999999996,4.952210421688228
2010,8,22268765,Cropland,2004188.8499999999,23.252760191489322
2010,9,163644,Wetland,14727.96,0.1708749761729525
2010,11,2078,Lichens & Mosses,187.01999999999998,0.0021698210779948868
2010,12,14714977,Bareland,1324347.93,15.365191172670823
2010,13,845640,Built-up,76107.59999999999,0.883006494896822
2010,15,39419939,Water,3547794.51,41.161797177802065
2010,16,22194,Ice/Snow,1997.46,0.023174691532732685
2010,20,11175554,Forest,1005799.86,11.669370850563075
