year,code,count,class,area_km2,pct
1998,5,2612081,Shrubland,235087.28999999998,2.7275016415928595
1998,7,4625730,Grassland,416315.7,4.830128226714768
1998,8,22510639,Cropland,2025957.51,23.505321935194296
1998,9,161484,Wetland,14533.56,0.16861953174154298
1998,11,2085,Lichens & Mosses,187.65,0.0021771303886522326
1998,12,14884575,Bareland,1339611.75,15.542283239651464
1998,13,519182,Built-up,46726.38,0.5421232179574309
1998,15,39443855,Water,3549946.9499999997,41.186769959756504
1998,16,22194,Ice/Snow,1997.46,0.023174691532732685
1998,20,10986440,Forest,988779.6,11.471900425469753
