year,code,count,class,area_km2,pct
2014,5,2400679,Shrubland,216061.11,2.506758371366548
2014,7,4747589,Grassland,427283.01,4.957371839199551
2014,8,22227796,Cropland,2000501.64,23.20998088458635
2014,9,163424,Wetland,14708.16,0.17064525498086447
2014,11,2077,Lichens & Mosses,186.93,0.0021687768907581234
2014,12,14684505,Bareland,1321605.45,15.33337269919216
2014,13,931862,Built-up,83867.58,0.9730384068250584
2014,15,39417313,Water,3547558.17,41.15905514211832
2014,16,22194,Ice/Snow,1997.46,0.023174691532732685
2014,20,11170826,Forest,1005374.34,11.664433933307656
