year,code,count,class,area_km2,pct
2020,5,2637006,Shrubland,237330.53999999998,2.753528008469194
2020,7,4582481,Grassland,412423.29,4.784968172911977
2020,8,22087262,Cropland,1987853.5799999998,23.063237075455007
2020,9,163758,Wetland,14738.22,0.17099401351794355
2020,11,2077,Lichens & Mosses,186.93,0.0021687768907581234
2020,12,14567274,Bareland,1311054.66,15.210961585239119
2020,13,1003064,Built-up,90275.76,1.0473866264571046
2020,15,39415695,Water,3547412.55,41.157365647169236
2020,16,22194,Ice/Snow,1997.46,0.023174691532732685
2020,20,11287454,Forest,1015870.86,11.78621540235693
