year,code,count,class,area_km2,pct
2002,5,2514445,Shrubland,226300.05,2.6255513765442027
2002,7,4713276,Grassland,424194.83999999997,4.9215426425444795
2002,8,22464437,Cropland,2021799.3299999998,23.45707839648134
2002,9,161763,Wetland,14558.67,0.16891085998060004
2002,11,2078,Lichens & Mosses,187.01999999999998,0.0021698210779948868
2002,12,14890686,Bareland,1340161.74,15.548664267855328
2002,13,634434,Built-up,57099.06,0.6624678853689163
2002,15,39430444,Water,3548739.96,41.17276636472427
2002,16,22194,Ice/Snow,1997.46,0.023174691532732685
2002,20,10934508,Forest,984105.72,11.417673693890142
