year,code,count,class,area_km2,pct
2008,5,2423392,Shrubland,218105.28,2.5304749960751614
2008,7,4747325,Grassland,427259.25,4.957096173769045
2008,8,22264849,Cropland,2003836.41,23.248671154270152
2008,9,163128,Wetland,14681.519999999999,0.17033617555878244
2008,11,2078,Lichens & Mosses,187.01999999999998,0.0021698210779948868
2008,12,14768248,Bareland,1329142.32,15.420816070960457
2008,13,818480,Built-up,73663.2,0.854646369546321
2008,15,39421735,Water,3547956.15,41.16367253807929
2008,16,22194,Ice/Snow,1997.46,0.023174691532732685
2008,20,11136836,Forest,1002315.24,11.628942009130059
