year,code,count,class,area_km2,pct
2001,5,2524196,Shrubland,227177.63999999998,2.635733246289885
2001,7,4700903,Grassland,423081.26999999996,4.908622913864003
2001,8,22491526,Cropland,2024237.3399999999,23.48536438453803
2001,9,161632,Wetland,14546.88,0.168774071452584
2001,11,2078,Lichens & Mosses,187.01999999999998,0.0021698210779948868
2001,12,14905711,Bareland,1341513.99,15.5643531810877
2001,13,588029,Built-up,52922.61,0.6140123766468987
2001,15,39431702,Water,3548853.1799999997,41.17407995226811
2001,16,22194,Ice/Snow,1997.46,0.023174691532732685
2001,20,10940294,Forest,984626.46,11.423715361242056
