year,code,count,class,area_km2,pct
2011,5,2406882,Shrubland,216619.38,2.5132354647961934
2011,7,4742979,Grassland,426868.11,4.95255813603807
2011,8,22266335,Cropland,2003970.15,23.250222816503985
2011,9,163669,Wetland,14730.21,0.17090108085387157
2011,11,2078,Lichens & Mosses,187.01999999999998,0.0021698210779948868
2011,12,14707927,Bareland,1323713.43,15.357829652651638
2011,13,859164,Built-up,77324.76,0.8971280830868138
2011,15,39419452,Water,3547750.6799999997,41.16128865861776
2011,16,22194,Ice/Snow,1997.46,0.023174691532732685
2011,20,11177585,Forest,1005982.6499999999,11.671491594840942
