year,code,count,class,area_km2,pct
2015,5,2400230,Shrubland,216020.69999999998,2.5062895312972415
2015,7,4746903,Grassland,427221.26999999996,4.9566555267551315
2015,8,22213097,Cropland,1999178.73,23.194632376393162
2015,9,163348,Wetland,14701.32,0.17056589675087044
2015,11,2077,Lichens & Mosses,186.93,0.0021687768907581234
2015,12,14682550,Bareland,1321429.5,15.331331313144286
2015,13,950972,Built-up,85587.48,0.9929928249196119
2015,15,39417107,Water,3547539.63,41.15884003954754
2015,16,22194,Ice/Snow,1997.46,0.023174691532732685
2015,20,11169787,Forest,1005280.83,11.66334902276866
