year,code,count,class,area_km2,pct
2000,5,2555277,Shrubland,229974.93,2.6681876297957365
2000,7,4683228,Grassland,421490.51999999996,4.8901669044542055
2000,8,22531916,Cropland,2027872.44,23.527539107030915
2000,9,161359,Wetland,14522.31,0.16848900833694752
2000,11,2078,Lichens & Mosses,187.01999999999998,0.0021698210779948868
2000,12,14896889,Bareland,1340720.01,15.55514136128497
2000,13,553992,Built-up,49859.28,0.578471375669174
2000,15,39433253,Water,3548992.77,41.175699486672336
2000,16,22194,Ice/Snow,1997.46,0.023174691532732685
2000,20,10928079,Forest,983527.11,11.410960614144988
