year,code,count,class,area_km2,pct
2005,5,2451335,Shrubland,220620.15,2.5596527200320485
2005,7,4730457,Grassland,425741.13,4.939482823459316
2005,8,22403155,Cropland,2016283.95,23.393088514237988
2005,9,162225,Wetland,14600.25,0.16939327448398486
2005,11,2078,Lichens & Mosses,187.01999999999998,0.0021698210779948868
2005,12,14828431,Bareland,1334558.79,15.483658391430605
2005,13,766968,Built-up,69027.12,0.8008581966061513
2005,15,39427073,Water,3548436.57,41.16924640954913
2005,16,22194,Ice/Snow,1997.46,0.023174691532732685
2005,20,10974349,Forest,987691.4099999999,11.459275157590042
