year,code,count,class,area_km2,pct
2012,5,2405678,Shrubland,216511.02,2.5119782633631296
2012,7,4744016,Grassland,426961.44,4.953640958202595
2012,8,22273568,Cropland,2004621.1199999999,23.257775422787496
2012,9,163663,Wetland,14729.67,0.170894815730451
2012,11,2078,Lichens & Mosses,187.01999999999998,0.0021698210779948868
2012,12,14694199,Bareland,1322477.91,15.343495050265346
2012,13,876582,Built-up,78892.37999999999,0.9153157363767632
2012,15,39418698,Water,3547682.82,41.16050134144123
2012,16,22194,Ice/Snow,1997.46,0.023174691532732685
2012,20,11167589,Forest,1005083.01,11.661053899222253
