year,code,count,class,area_km2,pct
2016,5,2430068,Shrubland,218706.12,2.5374459900677953
2016,7,4721656,Grassland,424949.04,4.930292931588559
2016,8,22160126,Cropland,1994411.3399999999,23.139320734274555
2016,9,163402,Wetland,14706.18,0.1706222828616557
2016,11,2077,Lichens & Mosses,186.93,0.0021687768907581234
2016,12,14668172,Bareland,1320135.48,15.316317989054099
2016,13,953226,Built-up,85790.34,0.9953464229512772
2016,15,39417010,Water,3547530.9,41.158738753385585
2016,16,22194,Ice/Snow,1997.46,0.023174691532732685
2016,20,11230334,Forest,1010730.0599999999,11.726571427392988
