From,To,Count,Area_km2,Period
15,13,149,13.41,1996-1997
15,15,39445042,3550053.78,1996-1997
15,20,109,9.81,1996-1997
16,16,22194,1997.46,1996-1997
20,5,1609,144.81,1996-1997
20,7,7205,648.4499999999999,1996-1997
20,8,17995,1619.55,1996-1997
20,9,27,2.4299999999999997,1996-1997
20,12,799,71.91,1996-1997
20,13,707,63.629999999999995,1996-1997
20,15,21,1.89,1996-1997
20,20,11004815,990433.35,1996-1997
5,5,2607147,234643.22999999998,1997-1998
5,8,6648,598.3199999999999,1997-1998
5,12,8015,721.35,1997-1998
5,13,413,37.17,1997-1998
5,15,59,5.31,1997-1998
5,20,1465,131.85,1997-1998
7,5,786,70.74,1997-1998
7,7,4599517,413956.52999999997,1997-1998
7,8,388,34.92,1997-1998
7,12,700,63.0,1997-1998
7,13,518,46.62,1997-1998
7,20,201,18.09,1997-1998
8,5,759,68.31,1997-1998
8,7,1214,109.25999999999999,1997-1998
8,8,22463195,2021687.5499999998,1997-1998
8,9,2,0.18,1997-1998
8,12,820,73.8,1997-1998
8,13,11960,1076.3999999999999,1997-1998
8,15,116,10.44,1997-1998
8,20,21809,1962.81,1997-1998
9,5,17,1.53,1997-1998
9,8,93,8.37,1997-1998
9,9,161329,14519.609999999999,1997-1998
9,13,136,12.24,1997-1998
9,15,1,0.09,1997-1998
9,20,95,8.549999999999999,1997-1998
11,11,2085,187.65,1997-1998
11,13,3,0.27,1997-1998
12,5,726,65.34,1997-1998
12,7,4700,423.0,1997-1998
12,8,749,67.41,1997-1998
12,12,14873999,1338659.91,1997-1998
12,13,3219,289.71,1997-1998
12,20,107,9.629999999999999,1997-1998
13,13,501936,45174.24,1997-1998
15,5,99,8.91,1997-1998
15,7,49,4.41,1997-1998
15,8,644,57.96,1997-1998
15,9,73,6.569999999999999,1997-1998
15,12,272,24.48,1997-1998
15,13,182,16.38,1997-1998
15,15,39443619,3549925.71,1997-1998
15,20,210,18.9,1997-1998
16,16,22194,1997.46,1997-1998
20,5,2547,229.23,1997-1998
20,7,20250,1822.5,1997-1998
20,8,38922,3502.98,1997-1998
20,9,80,7.199999999999999,1997-1998
20,12,769,69.21,1997-1998
20,13,815,73.35,1997-1998
