Year,Class,Label,Count,Area_km2,Percentage
2004,12,Bareland,29430000,0.000327,0.7103290974258715
2004,13,Built-up,66780000,0.000742,1.611817095688063
2004,15,Water,7020000,7.8e-05,0.1694362984685565
2004,20,Forest,1511820000,0.016798,36.48962745736939
2005,5,Shrubland,11610000,0.000129,0.28022157054415114
2005,7,Grassland,147060000,0.001634,3.5494732268925815
2005,8,Cropland,2361150000,0.026235,56.98924731182795
2005,9,Wetland,270000,3e-06,0.006516780710329096
2005,12,Bareland,28080000,0.000312,0.677745193874226
2005,13,Built-up,69930000,0.000777,1.6878462039752362
2005,15,Water,7020000,7.8e-05,0.1694362984685565
2005,20,Forest,1518030000,0.016867,36.63951341370696
2006,5,Shrubland,11610000,0.000129,0.2802215705441512
2006,7,Grassland,147060000,0.001634,3.549473226892582
2006,8,Cropland,2359350000,0.026215,56.945802107092426
2006,9,Wetland,270000,3e-06,0.006516780710329097
2006,12,Bareland,27180000,0.000302,0.6560225915064625
2006,13,Built-up,72630000,0.000807,1.7530140110785273
2006,15,Water,7020000,7.8e-05,0.16943629846855654
2006,20,Forest,1518030000,0.016867,36.639513413706965
2007,5,Shrubland,11610000,0.000129,0.2802215705441512
2007,7,Grassland,146970000,0.001633,3.547300966655805
2007,8,Cropland,2349810000,0.026109,56.71554252199413
2007,9,Wetland,270000,3e-06,0.006516780710329097
2007,12,Bareland,23580000,0.000262,0.5691321820354079
2007,13,Built-up,81180000,0.000902,1.9593787335722819
2007,15,Water,7020000,7.8e-05,0.16943629846855654
2007,20,Forest,1522710000,0.016919,36.752470946019336
2008,5,Shrubland,11610000,0.000129,0.2802215705441512
2008,7,Grassland,146700000,0.00163,3.540784185945476
2008,8,Cropland,2343510000,0.026039,56.563484305419784
2008,9,Wetland,270000,3e-06,0.006516780710329097
2008,12,Bareland,22140000,0.000246,0.534376018246986
2008,13,Built-up,85230000,0.000947,2.0571304442272185
2008,15,Water,7020000,7.8e-05,0.16943629846855654
2008,20,Forest,1526670000,0.016963,36.84805039643749
2009,5,Shrubland,11610000,0.000129,0.2802215705441512
2009,7,Grassland,145890000,0.001621,3.521233843814489
2009,8,Cropland,2335320000,0.025948,56.365808623873136
2009,9,Wetland,270000,3e-06,0.006516780710329097
2009,12,Bareland,21330000,0.000237,0.5148256761159987
2009,13,Built-up,88200000,0.00098,2.1288150320408388
2009,15,Water,7020000,7.8e-05,0.16943629846855654
